序号,时间(s),幅值(高频80K)
1,0.201,6142.14
2,0.470,6144.00
3,0.738,6139.38
4,1.005,6137.68
5,1.273,6141.78
6,1.542,6139.40
7,1.810,6139.74
8,2.078,6138.56
9,2.345,6143.22
10,2.612,6143.65
11,2.880,6143.52
12,3.148,6142.73
13,3.416,6139.95
14,3.685,6136.52
15,3.953,6142.92
16,4.221,6143.10
17,4.489,6140.24
18,4.757,6142.42
19,5.024,6142.31
20,5.292,6143.77
21,5.561,6143.29
22,5.829,6142.72
23,6.097,6140.29
24,6.365,6141.94
25,6.632,6141.98
26,6.900,6141.13
27,7.168,6142.96
28,7.436,6143.00
29,7.704,6141.04
30,7.972,6144.39
31,8.239,6140.49
32,8.507,6141.46
33,8.776,6140.71
34,9.045,6141.26
35,9.313,6142.19
36,9.581,6145.66
37,9.849,6141.85
38,10.118,6142.54
39,10.386,6143.56
40,10.654,6143.64
41,10.922,6147.90
42,11.191,6150.36
43,11.459,6155.69
44,11.727,6159.01
45,11.995,6183.63
46,12.263,6185.62
47,12.531,6188.52
48,12.799,6184.58
49,13.067,6179.01
50,13.335,6155.63
51,13.603,6151.33
52,13.871,6145.97
53,14.138,6142.08
54,14.407,6143.75
55,14.674,6144.26
56,14.944,6139.95
57,15.212,6139.67
58,15.480,6143.75
59,15.748,6140.41
60,16.016,6142.30
61,16.283,6140.66
62,16.552,6142.48
63,16.820,6142.14
64,17.088,6141.23
65,17.357,6142.73
66,17.624,6142.57
67,17.892,6142.24
68,18.161,6140.18
69,18.429,6141.67
70,18.697,6144.94
71,18.966,6142.28
72,19.234,6138.29
73,19.502,6142.29
74,19.771,6143.10
75,20.039,6141.49
76,20.308,6141.03
77,20.576,6143.96
78,20.844,6140.46
79,21.113,6141.69
80,21.381,6141.78
81,21.650,6141.70
82,21.918,6146.53
83,22.185,6147.89
84,22.454,6152.09
85,22.722,6162.34
86,22.991,6182.56
87,23.260,6177.57
88,23.528,6179.17
89,23.796,6182.33
90,24.065,6153.93
91,24.333,6148.08
92,24.602,6149.69
93,24.871,6147.71
94,25.139,6151.38
95,25.407,6155.32
96,25.675,6155.33
97,25.944,6153.67
98,26.212,6155.29
99,26.480,6179.17
100,26.748,6183.79
