序号,时间(s),幅值(高频80K)
1,0.005,6151.80
2,0.274,6151.56
3,0.542,6153.97
4,0.810,6152.80
5,1.080,6153.04
6,1.349,6153.18
7,1.617,6153.79
8,1.885,6153.57
9,2.153,6151.62
10,2.421,6153.63
11,2.689,6151.54
12,2.957,6156.46
13,3.225,6150.31
14,3.493,6150.96
15,3.761,6151.70
16,4.029,6148.75
17,4.297,6147.71
18,4.565,6148.79
19,4.834,6150.13
20,5.102,6154.84
21,5.370,6148.99
22,5.638,6153.39
23,5.907,6152.03
24,6.176,6148.19
25,6.444,6151.34
26,6.712,6153.60
27,6.979,6150.56
28,7.248,6153.09
29,7.516,6152.72
30,7.784,6149.78
31,8.052,6152.94
32,8.320,6153.79
33,8.587,6151.04
34,8.856,6151.93
35,9.123,6149.17
36,9.392,6145.14
37,9.660,6147.82
38,9.928,6147.73
39,10.197,6150.18
40,10.464,6147.96
41,10.733,6146.60
42,11.000,6146.24
43,11.269,6147.61
44,11.538,6149.70
45,11.806,6147.03
46,12.075,6147.02
47,12.343,6146.99
48,12.611,6147.61
49,12.878,6146.00
50,13.146,6145.62
51,13.414,6145.14
52,13.683,6144.15
53,13.951,6147.14
54,14.219,6146.53
55,14.487,6147.90
56,14.755,6143.83
57,15.023,6143.88
58,15.291,6145.91
59,15.559,6148.06
60,15.827,6146.07
61,16.095,6149.52
62,16.363,6149.93
63,16.631,6146.79
64,16.899,6147.31
65,17.167,6149.18
66,17.435,6145.53
67,17.703,6146.16
68,17.972,6146.14
69,18.240,6147.01
70,18.507,6146.56
71,18.775,6148.61
72,19.043,6145.51
73,19.312,6150.34
74,19.580,6148.63
75,19.848,6150.53
76,20.116,6147.64
77,20.384,6150.47
78,20.651,6152.40
79,20.920,6194.70
80,21.188,6196.64
81,21.456,6185.89
82,21.724,6193.79
83,21.992,6169.17
84,22.259,6152.87
85,22.528,6150.51
86,22.796,6148.73
87,23.065,6151.43
88,23.333,6152.23
89,23.601,6150.24
90,23.869,6148.70
91,24.138,6148.35
92,24.406,6146.14
93,24.675,6151.62
94,24.943,6147.68
95,25.211,6151.65
96,25.479,6149.46
97,25.747,6148.77
98,26.016,6149.60
99,26.283,6147.07
100,26.551,6150.26
101,26.818,6147.50
102,27.086,6151.01
103,27.353,6148.30
104,27.621,6141.43
105,27.889,6144.22
106,28.158,6141.55
107,28.426,6141.82
108,28.693,6140.99
109,28.962,6141.08
