序号,时间(s),电压(V)
1,0.024,3.6129595720699257
2,0.028,2.049033741251764
3,0.032,0.6516581715850279
4,0.036,-0.45328237433628077
5,0.04,-1.2003515852205155
6,0.044,-1.5906911432749127
7,0.048,-1.6826569301840244
8,0.052,-1.5723437216504825
9,0.056,-1.370026445804539
10,0.06,-1.1774094839903482
11,0.064,-1.0693399278162858
12,0.068,-1.0826361924708425
13,0.072,-1.2135710248262057
14,0.076,-1.4242232394978385
15,0.08,-1.6562696848892298
16,0.084,-1.8488285435940914
17,0.088,-1.9554448962805862
18,0.092,-1.9553158350561168
19,0.096,-1.855759257982107
20,0.1,-1.6860968567395116
21,0.104,-1.4860827716828502
22,0.108,-1.293183110978537
23,0.112,-1.1321532665225436
24,0.116,-1.0089239147817244
25,0.12,-0.9100047847299586
26,0.124,-0.8078824766615836
27,0.128,-0.6712489948741506
28,0.132,-0.4769238855115003
29,0.136,-0.219498289554522
30,0.14,0.08449689653759528
31,0.144,0.39928639164782176
32,0.148,0.6784510028663703
33,0.152,0.8762235281110016
34,0.156,0.9573914995109777
35,0.16,0.9030659157352693
36,0.164,0.7123145584544235
37,0.168,0.40166936692615524
38,0.172,0.004209012534302737
39,0.176,-0.43209589154942063
40,0.18,-0.8484872970739693
41,0.184,-1.1830345746638042
42,0.188,-1.3809976769578556
43,0.192,-1.4058426804807675
44,0.196,-1.2483889991874213
45,0.2,-0.9315430452990369
46,0.204,-0.5084834180860335
47,0.208,-0.05354863858102378
48,0.212,0.35267885523390224
49,0.216,0.6404857554735243
50,0.22,0.7657623954193726
51,0.224,0.7183594520001902
52,0.228,0.5219227681054657
53,0.232,0.22550668440339483
54,0.236,-0.11043843506789468
55,0.24,-0.4294644495584544
56,0.244,-0.6911155368357504
57,0.248,-0.8758928439151011
58,0.252,-0.9826331932676445
59,0.256,-1.0212232208296552
60,0.26,-1.005070048415048
61,0.264,-0.9463587302043867
62,0.268,-0.8545418085635165
63,0.272,-0.73703844192783
64,0.276,-0.6011468137078612
65,0.28,-0.4563833365398958
66,0.284,-0.3161516769240439
67,0.288,-0.19744153766389289
68,0.292,-0.11777064068368312
69,0.296,-0.08976909444594167
70,0.3,-0.11536994493500956
71,0.304,-0.1827135914550555
72,0.308,-0.26832492600014596
73,0.312,-0.3445691651272907
