序号,时间(s),幅值(高频80K)
1,0.199,5931.96
2,0.468,5927.19
3,0.736,5935.04
4,1.005,5933.43
5,1.273,5930.65
6,1.541,5935.87
7,1.811,5935.81
8,2.079,5931.3
9,2.349,5933.97
10,2.617,5932.81
11,2.885,5930.89
12,3.153,5931.72
13,3.422,5932.09
14,3.689,5933.61
15,3.958,5932.53
16,4.226,5929.85
17,4.494,5935.24
18,4.763,5932.4
19,5.031,5935.04
20,5.3,5932.48
21,5.569,5937.85
22,5.838,5932.6
23,6.106,5933.98
24,6.374,5933.33
25,6.643,5933.43
26,6.91,5932.12
27,7.18,5931.75
28,7.448,5935.15
29,7.717,5934.68
30,7.984,5934.49
31,8.253,5934.55
32,8.521,5935.37
33,8.789,5935.21
34,9.058,5933.91
35,9.327,5934.39
36,9.594,5935.11
37,9.862,5934.98
38,10.131,5935.47
39,10.4,5934.77
40,10.669,5931.42
41,10.937,5927.99
42,11.206,5932.02
43,11.475,5928.28
44,11.743,5930.55
45,12.012,5930.98
46,12.28,5933.2
47,12.548,5930.55
48,12.817,5928.32
49,13.085,5931.1
50,13.353,5929.16
51,13.622,5932.43
52,13.891,5928.77
53,14.159,5929.73
54,14.428,5933.01
55,14.696,5929.29
56,14.964,5930.06
57,15.232,5929.81
58,15.5,5927.86
59,15.768,5928.87
60,16.036,5926.51
61,16.304,5927.64
62,16.572,5927.48
63,16.841,5927.76
64,17.109,5928.04
65,17.377,5929.6
66,17.645,5927.91
67,17.912,5927.42
68,18.182,5927.27
69,18.451,5926.04
70,18.719,5929.41
71,18.987,5929.05
72,19.255,5927.68
73,19.523,5927.33
74,19.792,5928.25
75,20.059,5928.09
76,20.328,5924.66
77,20.595,5928.44
78,20.863,5930.71
79,21.132,5928.85
80,21.4,5930.65
81,21.669,5927.55
82,21.938,5929.99
83,22.206,5930.67
84,22.473,5928.46
85,22.741,5930.64
86,23.009,5931.31
87,23.278,5927.36
88,23.547,5930.07
89,23.815,5926.9
90,24.083,5930.39
91,24.351,5931.34
92,24.619,5932.66
93,24.888,5932.24
94,25.156,5930.38
95,25.423,5929.84
96,25.692,5930.93
97,25.959,5929.5
98,26.227,5929.9
99,26.496,5931.84
100,26.764,5932.3
101,27.033,5933.34
102,27.301,5933.34
103,27.569,5930.0
104,27.837,5931.04
105,28.105,5933.22
106,28.374,5931.35
107,28.642,5928.02
108,28.911,5932.92
109,29.179,5930.67
110,29.448,5931.71
111,29.716,5930.63
112,29.986,5932.04
113,30.254,5931.37
114,30.522,5934.27
115,30.791,5931.4
116,31.059,5934.39
117,31.328,5933.68
118,31.596,5940.81
119,31.865,5936.84
120,32.133,5929.79
121,32.4,5930.94
122,32.669,5927.4
123,32.937,5928.57
124,33.205,5926.86
125,33.473,5926.24
126,33.741,5924.98
127,34.01,5926.83
128,34.278,5925.21
129,34.548,5923.62
130,34.816,5922.59
131,35.084,5923.05
132,35.352,5921.04
133,35.619,5923.04
134,35.888,5922.05
135,36.156,5924.52
136,36.424,5923.16
137,36.693,5923.06
138,36.961,5927.1
139,37.229,5923.52
140,37.497,5923.52
141,37.766,5923.84
142,38.034,5924.36
143,38.302,5920.77
144,38.572,5920.13
145,38.839,5921.38
146,39.107,5921.9
147,39.375,5923.24
148,39.645,5924.6
149,39.913,5923.34
150,40.18,5926.38
151,40.449,5926.28
152,40.717,5926.97
153,40.984,5921.98
154,41.253,5927.02
155,41.522,5923.31
156,41.789,5927.62
157,42.058,5927.26
158,42.326,5927.62
159,42.594,5920.69
160,42.863,5924.4
161,43.13,5924.94
162,43.398,5921.94
163,43.666,5925.24
164,43.934,5927.12
165,44.203,5928.68
166,44.471,5925.6
167,44.739,5927.55
168,45.007,5930.72
169,45.275,5925.64
170,45.544,5930.15
171,45.812,5928.63
172,46.08,5928.67
173,46.348,5927.89
174,46.616,5925.13
175,46.884,5925.78
176,47.152,5926.37
177,47.42,5924.5
178,47.688,5925.15
179,47.956,5923.77
180,48.224,5925.49
181,48.491,5927.47
182,48.759,5924.09
183,49.027,5925.54
184,49.295,5924.22
185,49.563,5923.79
186,49.833,5927.25
187,50.1,5930.04
188,50.369,5925.89
189,50.637,5926.74
190,50.904,5928.8
191,51.173,5928.12
192,51.442,5928.66
193,51.709,5928.5
194,51.978,5928.8
195,52.245,5929.22
196,52.515,5929.66
197,52.782,5927.59
198,53.051,5926.4
199,53.318,5926.32
200,53.587,5922.93
201,53.854,5922.21
202,54.123,5925.46
203,54.39,5922.66
204,54.658,5923.3
205,54.927,5926.13
206,55.195,5924.61
207,55.461,5924.78
208,55.73,5923.77
209,55.997,5923.23
210,56.266,5921.79
211,56.535,5923.95
212,56.803,5921.21
213,57.07,5918.78
214,57.339,5922.73
215,57.606,5923.53
216,57.874,5922.83
217,58.142,5922.41
218,58.409,5919.65
219,58.677,5920.94
220,58.945,5917.6
221,59.212,5911.85
222,59.481,5904.93
223,59.749,5905.95
224,60.017,5900.01
225,60.286,5894.51
226,60.554,5894.24
227,60.825,5893.6
228,61.092,5888.75
229,61.36,5889.11
230,61.628,5892.05
231,61.897,5885.0
232,62.165,5889.36
233,62.434,5889.9
234,62.702,5889.49
235,62.97,5887.95
236,63.239,5887.56
237,63.507,5888.23
238,63.776,5887.74
239,64.044,5888.06
240,64.312,5884.6
