序号,时间(s),电压,阻抗
1,0.099,0.273442,6828.228516
2,0.224,0.272516,6828.471191
3,0.349,0.272941,6827.255859
4,0.474,0.273066,6828.716309
5,0.599,0.273141,6828.085449
6,0.724,0.272466,6827.957031
7,0.849,0.272416,6829.145508
8,0.974,0.273392,6829.390137
9,1.099,0.274368,6828.329102
10,1.224,0.272666,6829.303223
11,1.349,0.272716,6829.488281
12,1.474,0.272916,6829.790527
13,1.599,0.273467,6829.763184
14,1.724,0.273567,6828.512695
15,1.849,0.272191,6829.244141
16,1.974,0.273016,6828.486816
17,2.099,0.273467,6827.295898
18,2.224,0.273517,6827.625977
19,2.349,0.272691,6827.741211
20,2.474,0.272766,6828.600098
21,2.599,0.272966,6827.813477
22,2.724,0.273192,6827.997559
23,2.849,0.273242,6828.357910
24,2.974,0.272516,6828.629395
25,3.099,0.273892,6828.814941
26,3.224,0.273367,6828.229004
27,3.350,0.272891,6829.475098
28,3.474,0.271590,6827.928711
29,3.599,0.271140,6828.715332
30,3.723,0.273192,6828.443848
31,3.849,0.272891,6827.683105
32,3.973,0.273342,6827.040039
33,4.099,0.273467,6826.310547
34,4.223,0.273967,6825.765137
35,4.348,0.273167,6826.396484
36,4.474,0.273091,6826.396973
37,4.599,0.273592,6826.667969
38,4.724,0.273242,6825.666504
39,4.848,0.272691,6825.764648
40,4.973,0.273392,6826.824707
41,5.099,0.273992,6825.636719
42,5.224,0.273267,6826.153809
43,5.348,0.272891,6826.338867
44,5.473,0.273066,6826.009766
45,5.599,0.273617,6826.795898
46,5.724,0.274117,6826.251953
47,5.850,0.273066,6825.736816
48,5.973,0.272416,6825.550293
49,6.099,0.274568,6826.410156
50,6.224,0.273892,6825.736816
51,6.349,0.272741,6825.278809
52,6.473,0.273217,6825.550293
53,6.599,0.273567,6825.092285
54,6.723,0.274193,6824.490234
55,6.849,0.273967,6824.763184
56,6.974,0.273517,6825.092773
57,7.099,0.273317,6825.521484
58,7.224,0.273817,6824.948242
59,7.349,0.273542,6824.731934
60,7.473,0.273041,6825.076660
61,7.598,0.273342,6823.673340
62,7.723,0.273542,6824.404297
63,7.849,0.273367,6821.629395
64,7.974,0.273767,6820.901855
65,8.099,0.273041,6822.816406
66,8.224,0.273066,6822.202637
67,8.349,0.273192,6821.786621
68,8.473,0.272741,6822.086426
69,8.599,0.272891,6821.958496
70,8.723,0.272541,6821.602051
71,8.849,0.272891,6820.986816
72,8.974,0.272841,6820.384766
73,9.098,0.272341,6821.472168
74,9.225,0.273116,6821.444336
75,9.348,0.272641,6820.971680
76,9.475,0.272616,6821.115234
77,9.598,0.273467,6820.872070
78,9.724,0.273041,6819.626953
79,9.848,0.272791,6820.599609
80,9.973,0.272516,6820.113770
81,10.099,0.273592,6820.657227
82,10.223,0.273317,6820.114258
83,10.349,0.272666,6822.357910
84,10.473,0.272666,6821.542969
85,10.598,0.273141,6821.115234
86,10.724,0.273767,6821.328613
87,10.848,0.273066,6822.270020
88,10.973,0.273317,6821.728516
89,11.099,0.272716,6821.457520
90,11.223,0.272916,6820.326172
91,11.349,0.273867,6821.515625
92,11.473,0.272791,6821.600586
93,11.599,0.273066,6821.571777
94,11.723,0.273442,6821.370605
95,11.848,0.273066,6821.328613
96,11.973,0.272516,6820.785156
97,12.098,0.273167,6821.241699
98,12.223,0.273267,6821.485840
99,12.348,0.272741,6821.571777
100,12.473,0.273167,6822.057617
101,12.598,0.273417,6820.483887
102,12.723,0.274092,6821.328613
103,12.848,0.273617,6821.786621
104,12.973,0.272966,6821.057129
105,13.098,0.272891,6821.398926
106,13.223,0.274393,6821.728516
107,13.348,0.273992,6821.187012
108,13.473,0.273091,6821.057129
109,13.599,0.272966,6821.758301
110,13.723,0.274318,6820.542969
111,13.848,0.273492,6820.699707
112,13.973,0.273167,6822.001953
113,14.098,0.273292,6821.485840
114,14.223,0.274042,6822.299805
115,14.348,0.274443,6820.970215
116,14.473,0.272716,6820.027344
117,14.599,0.273717,6820.998535
118,14.723,0.274993,6822.945313
119,14.848,0.273967,6822.758789
120,14.973,0.272141,6823.702637
121,15.098,0.269963,6823.860352
122,15.223,0.274643,6824.375488
123,15.348,0.274893,6824.861328
124,15.473,0.273542,6824.102539
125,15.598,0.272816,6820.098145
126,15.723,0.274443,6821.728027
127,15.848,0.274843,6819.026367
128,15.973,0.273742,6820.786133
129,16.098,0.273592,6819.882813
130,16.223,0.274468,6820.970215
131,16.348,0.274943,6822.072754
132,16.473,0.273141,6821.069824
133,16.598,0.273141,6821.486328
134,16.723,0.274718,6821.184570
135,16.849,0.274693,6820.456055
136,16.973,0.273842,6820.940918
137,17.098,0.273016,6820.341309
138,17.223,0.274017,6819.697754
139,17.348,0.274518,6820.426270
140,17.473,0.273867,6819.425781
141,17.599,0.273116,6819.339355
142,17.723,0.273817,6819.826172
143,17.848,0.274167,6819.882813
144,17.973,0.274067,6819.854980
145,18.098,0.273091,6820.183594
146,18.223,0.272766,6819.223633
147,18.348,0.273892,6819.368164
148,18.473,0.273667,6820.040527
149,18.598,0.273192,6819.135742
150,18.723,0.272741,6820.012207
151,18.848,0.274943,6819.281738
152,18.973,0.273392,6819.554199
153,19.098,0.272466,6818.495117
154,19.223,0.273642,6819.796875
155,19.348,0.274768,6819.310547
156,19.473,0.274543,6820.254883
157,19.597,0.273642,6820.225586
158,19.723,0.273767,6819.882324
159,19.848,0.274218,6819.639160
160,19.973,0.274193,6819.194336
161,20.098,0.272516,6819.953125
162,20.222,0.272115,6820.011719
163,20.349,0.275369,6819.981445
164,20.472,0.273642,6818.824707
165,20.597,0.273442,6819.496582
166,20.722,0.273442,6819.195801
167,20.848,0.274443,6819.409180
168,20.973,0.274067,6820.109375
169,21.098,0.272916,6818.865234
170,21.223,0.273567,6820.809570
171,21.349,0.274893,6819.467773
172,21.473,0.274293,6819.738770
173,21.597,0.273041,6819.953125
174,21.722,0.273192,6819.651855
175,21.848,0.274618,6818.980469
176,21.972,0.274393,6820.109375
177,22.098,0.272716,6819.838379
178,22.222,0.273492,6819.838867
179,22.348,0.274493,6820.995605
180,22.473,0.274568,6820.410156
181,22.598,0.272691,6819.595215
182,22.722,0.272866,6819.351563
183,22.848,0.273817,6819.795410
184,22.972,0.274268,6819.866699
185,23.097,0.273492,6819.165527
186,23.223,0.273317,6820.022949
187,23.348,0.274668,6820.021973
188,23.473,0.273692,6819.625000
189,23.598,0.272566,6819.409180
190,23.723,0.273292,6820.421875
191,23.848,0.274368,6820.624512
192,23.972,0.274293,6820.537598
193,24.097,0.273016,6821.752930
194,24.222,0.273016,6820.450195
195,24.348,0.274142,6819.994141
196,24.473,0.274668,6822.452637
197,24.597,0.273292,6821.237305
198,24.722,0.272516,6820.207520
199,24.848,0.274443,6819.235840
200,24.972,0.274243,6815.765137
201,25.097,0.272191,6814.852539
202,25.223,0.272716,6814.523438
203,25.347,0.272591,6813.155273
204,25.473,0.274993,6814.640625
205,25.598,0.273417,6814.338867
206,25.723,0.272065,6814.367676
207,25.847,0.272616,6814.523926
208,25.972,0.274893,6813.796875
209,26.098,0.273041,6814.253418
210,26.222,0.272266,6815.794922
211,26.347,0.274318,6815.581543
212,26.472,0.275093,6815.980957
213,26.597,0.273141,6815.066895
214,26.722,0.272766,6816.251465
215,26.847,0.274017,6816.251953
216,26.972,0.274793,6815.453613
217,27.097,0.273016,6815.367188
218,27.222,0.272466,6815.095703
219,27.347,0.273167,6815.039063
220,27.472,0.274543,6816.464844
221,27.597,0.273617,6814.338867
222,27.722,0.272841,6815.252930
223,27.847,0.274393,6814.709961
224,27.972,0.274518,6815.279297
225,28.097,0.273492,6815.252441
226,28.222,0.272065,6815.250488
227,28.347,0.273367,6816.010254
228,28.472,0.275168,6815.310547
229,28.597,0.274243,6815.008789
230,28.722,0.272716,6815.194336
231,28.847,0.273016,6815.407715
232,28.972,0.274618,6816.494141
233,29.098,0.273217,6816.037109
234,29.222,0.272641,6814.852539
235,29.347,0.272966,6814.408691
236,29.472,0.274493,6814.624023
237,29.597,0.273867,6814.466309
238,29.722,0.272766,6814.865234
239,29.847,0.273667,6814.952637
240,29.972,0.274868,6814.224121
241,30.097,0.273992,6814.437500
242,30.223,0.272566,6814.225098
243,30.347,0.273842,6814.407715
244,30.472,0.272115,6814.409180
245,30.597,0.273367,6814.679688
246,30.722,0.272115,6814.437500
247,30.847,0.273367,6815.106934
