序号,时间(s),电压,阻抗
1,0.105,1.273017,7298.945313
2,0.231,1.272767,7299.219238
3,0.357,1.273392,7296.679199
4,0.483,1.272892,7300.649414
5,0.609,1.272717,7300.031250
6,0.735,1.273492,7295.272949
7,0.861,1.273192,7299.366211
8,0.987,1.272667,7301.156738
9,1.113,1.272567,7301.358398
10,1.239,1.273417,7296.557617
11,1.365,1.273142,7298.412109
12,1.491,1.273367,7298.316895
13,1.617,1.273167,7300.446777
14,1.743,1.272216,7301.178223
15,1.869,1.273092,7298.000977
16,1.995,1.273543,7298.183594
17,2.121,1.273367,7296.200684
18,2.247,1.272942,7298.825195
19,2.373,1.273017,7297.307617
20,2.499,1.272892,7297.415039
21,2.625,1.272617,7303.870117
22,2.751,1.273467,7292.321777
23,2.877,1.273142,7297.672363
24,3.003,1.272817,7299.144531
25,3.129,1.272516,7296.225098
26,3.255,1.272867,7305.391113
27,3.381,1.273067,7299.148926
28,3.507,1.272992,7300.689453
29,3.633,1.273643,7299.584961
30,3.759,1.273392,7298.411621
31,3.885,1.272667,7297.309570
32,4.011,1.273543,7298.987793
33,4.137,1.273517,7299.451172
34,4.263,1.273568,7296.229980
35,4.389,1.273042,7298.471680
36,4.515,1.273367,7296.716309
37,4.641,1.272817,7296.084961
38,4.767,1.272642,7293.741699
39,4.892,1.273142,7303.068848
40,5.019,1.273543,7296.050781
41,5.145,1.272992,7296.387207
42,5.271,1.271816,7298.984863
43,5.396,1.272692,7300.669434
44,5.523,1.273392,7299.306641
45,5.648,1.273117,7295.816406
46,5.775,1.273267,7296.668457
47,5.900,1.273167,7294.667480
48,6.026,1.272692,7299.615234
49,6.153,1.272742,7299.376465
50,6.279,1.273417,7293.787109
51,6.405,1.273067,7297.340332
52,6.531,1.273067,7296.874023
53,6.657,1.273192,7302.516113
54,6.783,1.272466,7296.874023
55,6.909,1.272291,7292.690430
56,7.034,1.273367,7297.871582
57,7.161,1.273192,7298.515137
58,7.287,1.272867,7294.811523
59,7.413,1.273167,7297.978027
60,7.538,1.272992,7300.328125
61,7.664,1.273142,7298.496582
62,7.790,1.272892,7298.134766
63,7.917,1.273092,7297.973145
64,8.042,1.273142,7295.468262
65,8.169,1.273167,7297.896484
66,8.294,1.272692,7297.064453
67,8.420,1.273017,7294.840820
68,8.546,1.272491,7296.841797
69,8.672,1.272241,7298.823242
70,8.798,1.272992,7300.128418
71,8.924,1.272742,7303.264648
72,9.050,1.272617,7299.047363
73,9.176,1.272642,7297.723633
74,9.303,1.272642,7297.928711
