序号,时间(s),电压,阻抗
1,0.120,1.301370,7052.291016
2,0.246,1.300744,7050.618164
3,0.373,1.300919,7050.285156
4,0.498,1.301470,7052.678223
5,0.624,1.301370,7049.875977
6,0.750,1.301244,7051.039063
7,0.876,1.300669,7048.565918
8,1.001,1.301144,7053.681641
9,1.128,1.301244,7047.303711
10,1.254,1.301169,7052.671875
11,1.380,1.299743,7051.170410
12,1.506,1.301169,7051.814453
13,1.632,1.301370,7054.717285
14,1.758,1.301194,7048.631348
15,1.884,1.301720,7051.214355
16,2.010,1.302671,7051.534668
17,2.136,1.302346,7051.264648
18,2.262,1.301094,7053.994629
19,2.388,1.301194,7052.741211
20,2.514,1.300944,7051.005859
21,2.639,1.300894,7051.920410
22,2.767,1.300744,7048.145508
23,2.892,1.300569,7053.066895
24,3.018,1.300669,7053.454102
25,3.144,1.300819,7054.267090
26,3.270,1.300969,7055.257324
27,3.395,1.300869,7053.314941
28,3.522,1.299943,7056.332031
29,3.648,1.300794,7053.951172
30,3.773,1.300619,7062.938477
31,3.900,1.300969,7144.370605
32,4.027,1.301345,7204.830566
33,4.152,1.300218,7233.078613
34,4.278,1.301570,7231.867188
35,4.404,1.301970,7227.644531
36,4.529,1.301295,7239.763672
37,4.656,1.301495,7242.119629
38,4.781,1.301670,7232.961426
39,4.908,1.301470,7223.855469
40,5.034,1.300844,7260.170898
41,5.160,1.301395,7260.807617
42,5.285,1.301495,7254.143066
43,5.412,1.301495,7254.465820
44,5.538,1.301395,7254.925293
45,5.664,1.301470,7257.878418
46,5.790,1.301420,7239.359863
47,5.916,1.301194,7262.615723
48,6.042,1.301820,7249.686035
49,6.168,1.301920,7254.758301
50,6.293,1.300269,7268.254395
51,6.420,1.301244,7256.430664
52,6.546,1.301720,7293.646973
53,6.671,1.301495,7258.948242
54,6.798,1.301169,7271.176270
55,6.923,1.301445,7261.763672
56,7.050,1.301645,7270.102051
57,7.176,1.301870,7278.728516
58,7.302,1.301670,7243.097168
59,7.428,1.301270,7279.684570
60,7.553,1.301495,7266.218750
61,7.681,1.301720,7248.165527
62,7.805,1.301745,7260.074707
63,7.931,1.301194,7088.680176
64,8.057,1.301194,7066.832031
65,8.183,1.301545,7062.520020
66,8.310,1.301720,7055.565430
67,8.436,1.301395,7054.135254
68,8.561,1.300394,7058.341309
69,8.687,1.301169,7056.368652
70,8.813,1.301445,7056.798828
71,8.940,1.300469,7056.546387
72,9.066,1.300819,7058.852051
73,9.192,1.300819,7054.833008
74,9.317,1.300819,7055.682617
75,9.443,1.301144,7054.035645
76,9.570,1.301044,7057.614746
77,9.696,1.300344,7057.194824
78,9.821,1.301194,7055.073730
79,9.947,1.301295,7056.201660
80,10.074,1.300969,7057.819336
81,10.199,1.301069,7055.671875
82,10.326,1.301520,7058.709961
83,10.452,1.301570,7053.286621
84,10.577,1.301570,7056.014648
85,10.704,1.300794,7055.888672
86,10.830,1.301420,7051.522461
87,10.955,1.300819,7052.468262
88,11.081,1.301270,7054.905762
89,11.208,1.300594,7056.102539
90,11.334,1.301169,7057.974609
91,11.459,1.300594,7057.529785
92,11.585,1.301870,7056.706055
93,11.712,1.301144,7057.673340
94,11.837,1.301295,7054.664551
95,11.964,1.301219,7057.136230
96,12.089,1.301169,7060.202148
97,12.215,1.300844,7059.936523
98,12.341,1.301620,7055.868164
99,12.467,1.301795,7055.028320
100,12.593,1.301295,7055.759277
101,12.719,1.301244,7053.344238
102,12.845,1.300444,7057.420898
103,12.971,1.300519,7059.080078
104,13.097,1.301119,7058.139648
105,13.223,1.301995,7055.680664
106,13.349,1.301194,7054.386719
107,13.475,1.301194,7056.522461
108,13.601,1.301119,7056.638672
109,13.728,1.301470,7055.218262
110,13.853,1.301119,7056.279785
111,13.979,1.301295,7054.225098
112,14.105,1.301495,7053.652344
113,14.231,1.301395,7053.187500
114,14.357,1.300769,7054.541992
115,14.483,1.300969,7057.372070
116,14.609,1.300944,7052.295898
117,14.735,1.301945,7059.253418
118,14.861,1.301320,7060.204102
119,14.988,1.301169,7056.887695
120,15.113,1.301194,7055.913086
121,15.239,1.300769,7057.221191
122,15.365,1.301795,7055.839844
123,15.491,1.300369,7055.911621
124,15.617,1.300994,7055.476074
125,15.743,1.301169,7054.977051
126,15.869,1.301420,7056.513184
127,15.995,1.300894,7055.161621
128,16.121,1.300794,7055.413574
129,16.248,1.301019,7054.749512
130,16.373,1.302020,7056.876465
131,16.499,1.301370,7056.488770
132,16.625,1.301144,7055.424805
133,16.751,1.301094,7056.253906
134,16.878,1.300419,7056.578613
135,17.003,1.301545,7058.867676
136,17.129,1.300469,7058.453125
137,17.255,1.301194,7063.450684
138,17.381,1.301244,7086.103516
139,17.508,1.301670,7118.996582
140,17.634,1.301169,7143.070313
141,17.759,1.301320,7142.643066
142,17.885,1.301645,7140.377441
143,18.011,1.301395,7148.037109
144,18.137,1.300619,7168.159180
145,18.263,1.300469,7168.728027
146,18.389,1.301194,7161.910156
147,18.515,1.301520,7160.653320
148,18.641,1.301295,7166.955078
149,18.767,1.301345,7168.324707
150,18.893,1.300894,7168.510254
151,19.019,1.301295,7167.739258
152,19.144,1.300944,7176.785645
153,19.271,1.301194,7185.841309
154,19.397,1.301219,7190.444824
155,19.523,1.301495,7179.605469
156,19.649,1.301520,7175.967285
157,19.775,1.301219,7179.343262
158,19.901,1.300719,7184.567383
159,20.027,1.301520,7180.942871
160,20.153,1.301645,7173.148926
161,20.279,1.301370,7187.087402
162,20.404,1.301244,7183.274414
163,20.532,1.301270,7191.925781
164,20.657,1.300719,7183.403320
165,20.783,1.301169,7206.027344
166,20.909,1.301069,7174.836914
167,21.034,1.300744,7178.617676
168,21.161,1.300869,7183.750977
169,21.287,1.301695,7191.915527
170,21.413,1.301219,7194.556152
171,21.539,1.300218,7177.524902
172,21.664,1.301244,7177.288086
173,21.791,1.301795,7187.834961
174,21.916,1.300269,7188.270996
175,22.043,1.300944,7194.366699
176,22.168,1.301069,7184.255371
177,22.295,1.301570,7189.862305
178,22.421,1.301295,7178.936523
179,22.547,1.300269,7188.265137
180,22.673,1.301044,7175.900391
181,22.799,1.301520,7181.323730
182,22.925,1.301345,7188.266602
183,23.051,1.301244,7185.760742
184,23.177,1.300694,7191.569824
185,23.303,1.301370,7198.218750
186,23.428,1.300494,7195.333008
187,23.555,1.301295,7184.845215
188,23.681,1.300894,7192.727051
189,23.807,1.301870,7184.739746
190,23.933,1.301620,7183.963379
191,24.059,1.301445,7133.412109
192,24.185,1.301420,7078.241699
193,24.311,1.300844,7058.761230
194,24.436,1.301295,7054.509277
195,24.563,1.301395,7052.754395
196,24.688,1.300794,7051.983887
197,24.815,1.299843,7059.134766
198,24.940,1.300569,7054.094727
199,25.066,1.301320,7053.234863
200,25.192,1.301119,7052.484375
201,25.318,1.300944,7051.721191
202,25.445,1.300519,7047.984375
203,25.571,1.301470,7051.745605
204,25.697,1.300469,7051.926270
205,25.823,1.300694,7052.189941
206,25.948,1.301295,7049.192871
207,26.075,1.301320,7054.139648
208,26.201,1.300719,7049.522949
209,26.326,1.301044,7049.718262
210,26.452,1.300819,7048.103516
211,26.578,1.301445,7048.061035
212,26.705,1.301270,7049.637207
213,26.830,1.301445,7055.584473
214,26.957,1.301119,7051.092773
215,27.083,1.301570,7050.005371
216,27.208,1.301244,7048.139160
217,27.334,1.301970,7048.318359
218,27.460,1.301094,7046.976074
