序号,时间(s),电压,阻抗
1,0.099,-2.4102093400987807,6828.228516
2,0.224,-2.416443356508418,6828.471191
3,0.349,-2.421842601726632,6827.255859
4,0.474,-2.4257563528768014,6828.716309
5,0.599,-2.427860648527627,6828.085449
6,0.724,-2.428207341174156,6827.957031
7,0.849,-2.4271807203251052,6829.145508
8,0.974,-2.4253747718954424,6829.390137
9,1.099,-2.4234242907841423,6828.329102
10,1.224,-2.4218431449606386,6829.303223
11,1.349,-2.420922850162294,6829.488281
12,1.474,-2.4207131658726513,6829.790527
13,1.599,-2.4210672643858824,6829.763184
14,1.724,-2.4217194090558385,6828.512695
15,1.849,-2.422372392937938,6829.244141
16,1.974,-2.422780241442781,6828.486816
17,2.099,-2.422810615139689,6827.295898
18,2.224,-2.4224754702084277,6827.625977
19,2.349,-2.4219320958601593,6827.741211
20,2.474,-2.421462560072218,6828.600098
21,2.599,-2.4214293725545257,6827.813477
22,2.724,-2.4221963335140773,6827.997559
23,2.849,-2.4240146900784905,6828.35791
24,2.974,-2.426900120648696,6828.629395
25,3.099,-2.4305458703451475,6828.814941
26,3.224,-2.434320160348496,6828.229004
27,3.35,-2.437379323844533,6829.475098
28,3.474,-2.43888865145158,6827.928711
29,3.599,-2.438286709770912,6828.715332
30,3.723,-2.4354877452423973,6828.443848
31,3.849,-2.4309297432884978,6827.683105
32,3.973,-2.4254448516983222,6827.040039
33,4.099,-2.420009444012991,6826.310547
34,4.223,-2.41547441020747,6825.765137
35,4.348,-2.4123687088215897,6826.396484
36,4.474,-2.410826690781051,6826.396973
37,4.599,-2.4106367257496992,6826.667969
38,4.724,-2.4113688674737817,6825.666504
39,4.848,-2.41252556665768,6825.764648
40,4.973,-2.4136675382516133,6826.824707
41,5.099,-2.4144869424101576,6825.636719
42,5.224,-2.414825569581415,6826.153809
43,5.348,-2.4146558928570077,6826.338867
44,5.473,-2.4140452529303653,6826.009766
45,5.599,-2.4131128481767763,6826.795898
46,5.724,-2.411984536094491,6826.251953
47,5.85,-2.410756831458133,6825.736816
48,5.973,-2.4094832456095294,6825.550293
49,6.099,-2.4081843779081114,6826.410156
50,6.224,-2.4068718405822365,6825.736816
51,6.349,-2.4055767671263184,6825.278809
52,6.473,-2.4043747846636703,6825.550293
53,6.599,-2.40339190369379,6825.092285
54,6.723,-2.4027762924934173,6824.490234
55,6.849,-2.4026427286327605,6824.763184
56,6.974,-2.4030212317480677,6825.092773
57,7.099,-2.4038421304938025,6825.521484
58,7.224,-2.404966598456541,6824.948242
59,7.349,-2.4062470078854736,6824.731934
60,7.473,-2.407590807745352,6825.07666
61,7.598,-2.409002434827082,6823.67334
62,7.723,-2.4105845317243944,6824.404297
63,7.849,-2.4124940972828903,6821.629395
64,7.974,-2.414869515726474,6820.901855
65,8.099,-2.417759002320384,6822.816406
66,8.224,-2.421079258922368,6822.202637
67,8.349,-2.424617263747935,6821.786621
68,8.473,-2.4280701425493247,6822.086426
69,8.599,-2.4311075907845634,6821.958496
70,8.723,-2.4334388641982962,6821.602051
71,8.849,-2.4348683659295594,6820.986816
72,8.974,-2.435328796984659,6820.384766
73,9.098,-2.43488753905166,6821.472168
74,9.225,-2.4337275771885265,6821.444336
75,9.348,-2.4321076353753868,6820.97168
76,9.475,-2.4303088793786833,6821.115234
77,9.598,-2.4285786106793164,6820.87207
78,9.724,-2.4270841714991076,6819.626953
79,9.848,-2.4258901969415465,6820.599609
80,9.973,-2.42496533889528,6820.11377
81,10.099,-2.4242125857414405,6820.657227
82,10.223,-2.42351073395572,6820.114258
83,10.349,-2.4227574518588066,6822.35791
84,10.473,-2.421906589091885,6821.542969
85,10.598,-2.4209882077836027,6821.115234
86,10.724,-2.4201004641582236,6821.328613
87,10.848,-2.4193765698820813,6822.27002
88,10.973,-2.4189452103651266,6821.728516
89,11.099,-2.4189015336642306,6821.45752
90,11.223,-2.419290472049418,6820.326172
91,11.349,-2.420093286482944,6821.515625
92,11.473,-2.42121292194575,6821.600586
93,11.599,-2.422465927652667,6821.571777
94,11.723,-2.423593721997985,6821.370605
95,11.848,-2.4243004706439732,6821.328613
96,11.973,-2.4243146397591073,6820.785156
97,12.098,-2.4234600089849088,6821.241699
98,12.223,-2.4217132191083572,6821.48584
99,12.348,-2.419225623928238,6821.571777
100,12.473,-2.4162981323409882,6822.057617
101,12.598,-2.4133125035819156,6820.483887
102,12.723,-2.4106375230833597,6821.328613
103,12.848,-2.4085405642880926,6821.786621
104,12.973,-2.4071344689618233,6821.057129
105,13.098,-2.406370917709393,6821.398926
106,13.223,-2.4060687284330293,6821.728516
107,13.348,-2.4059607365874585,6821.187012
108,13.473,-2.405755224909084,6821.057129
109,13.599,-2.4052127626811135,6821.758301
110,13.723,-2.404225829515824,6820.542969
111,13.848,-2.402875586213431,6820.699707
112,13.973,-2.4014435677752703,6822.001953
113,14.098,-2.400366797296752,6821.48584
114,14.223,-2.40013368239765,6822.299805
115,14.348,-2.4011336287218317,6820.970215
116,14.473,-2.4034981367520074,6820.027344
117,14.599,-2.406987447749163,6820.998535
118,14.723,-2.41097196096996,6822.945313
119,14.848,-2.4145383454601976,6822.758789
120,14.973,-2.4167173900639036,6823.702637
121,15.098,-2.4167746389467593,6823.860352
122,15.223,-2.414448889864291,6824.375488
123,15.348,-2.4100287085405068,6824.861328
124,15.473,-2.404242795311761,6824.102539
125,15.598,-2.3980361540261113,6820.098145
126,15.723,-2.3923313936280652,6821.728027
127,15.848,-2.3878404230056574,6819.026367
128,15.973,-2.384954775860451,6820.786133
129,16.098,-2.3837231017168157,6819.882813
130,16.223,-2.383905666390231,6820.970215
131,16.348,-2.385078360447542,6822.072754
132,16.473,-2.386755600145503,6821.069824
133,16.598,-2.3885055084209026,6821.486328
134,16.723,-2.3900306086172494,6821.18457
135,16.849,-2.3911950957466064,6820.456055
136,16.973,-2.392005687315574,6820.940918
137,17.098,-2.392574298234137,6820.341309
138,17.223,-2.3930827085823756,6819.697754
139,17.348,-2.393747060948177,6820.42627
140,17.473,-2.3947745811710894,6819.425781
141,17.599,-2.3963165194138405,6819.339355
142,17.723,-2.3984273414224604,6819.826172
143,17.848,-2.4010361486480774,6819.882813
144,17.973,-2.403936489000932,6819.85498
145,18.098,-2.4068056273863547,6820.183594
146,18.223,-2.409258134519813,6819.223633
147,18.348,-2.4109200838170755,6819.368164
148,18.473,-2.4114997204612347,6820.040527
149,18.598,-2.4108393990468486,6819.135742
150,18.723,-2.408947187560105,6820.012207
151,18.848,-2.406009712108075,6819.281738
152,18.973,-2.4023855852110847,6819.554199
153,19.098,-2.398577199249156,6818.495117
154,19.223,-2.3951725296796678,6819.796875
155,19.348,-2.3927448522212877,6819.310547
156,19.473,-2.3917175142907947,6820.254883
157,19.597,-2.3922367629425496,6820.225586
158,19.723,-2.3941102150418945,6819.882324
159,19.848,-2.3968437745206916,6819.63916
160,19.973,-2.3997689124239265,6819.194336
161,20.098,-2.402221178203502,6819.953125
162,20.222,-2.403712405258211,6820.011719
163,20.349,-2.4040359444167283,6819.981445
164,20.472,-2.403271106764172,6818.824707
165,20.597,-2.4017033491788227,6819.496582
166,20.722,-2.3997110497675744,6819.195801
167,20.848,-2.3976645272377666,6819.40918
168,20.973,-2.3958594119021694,6820.109375
169,21.098,-2.3944892249378187,6818.865234
170,21.223,-2.393649103079527,6820.80957
171,21.349,-2.393352309889178,6819.467773
172,21.473,-2.393546134533362,6819.73877
173,21.597,-2.3941307459631616,6819.953125
174,21.722,-2.394988082363565,6819.651855
175,21.848,-2.3960119264682955,6818.980469
176,21.972,-2.3971219164978756,6820.109375
177,22.098,-2.3982579399909585,6819.838379
178,22.222,-2.399365987528803,6819.838867
179,22.348,-2.4003853735620724,6820.995605
180,22.473,-2.4012438473008966,6820.410156
181,22.598,-2.401870490329042,6819.595215
182,22.722,-2.402229098180351,6819.351563
183,22.848,-2.402351168711316,6819.79541
184,22.972,-2.4023362305688214,6819.866699
185,23.097,-2.402308943081836,6819.165527
186,23.223,-2.4023558421722773,6820.022949
187,23.348,-2.4024779397905314,6820.021973
188,23.473,-2.402585585823325,6819.625
189,23.598,-2.4025417977186225,6819.40918
190,23.723,-2.4022353282900313,6820.421875
191,23.848,-2.4016459266995556,6820.624512
192,23.972,-2.400871079285363,6820.537598
193,24.097,-2.4001122365657857,6821.75293
194,24.222,-2.399636761495527,6820.450195
195,24.348,-2.3997248482997837,6819.994141
196,24.473,-2.4006027119793427,6822.452637
197,24.597,-2.402374560175972,6821.237305
198,24.722,-2.4049785653481086,6820.20752
199,24.848,-2.4081837108165325,6819.23584
200,24.972,-2.411626166172801,6815.765137
201,25.097,-2.414876094187955,6814.852539
202,25.223,-2.417521180225268,6814.523438
203,25.347,-2.4192405883879817,6813.155273
204,25.473,-2.4198414644399593,6814.640625
205,25.598,-2.419257431007968,6814.338867
206,25.723,-2.417538759707101,6814.367676
207,25.847,-2.414857657707975,6814.523926
208,25.972,-2.411517759447811,6813.796875
209,26.098,-2.407939828797207,6814.253418
210,26.222,-2.404610135183696,6815.794922
211,26.347,-2.4019966389347673,6815.581543
212,26.472,-2.4004483017608704,6815.980957
213,26.597,-2.4001061457086776,6815.066895
214,26.722,-2.400862442146117,6816.251465
215,26.847,-2.402385966687546,6816.251953
216,26.972,-2.404201390166584,6815.453613
217,27.097,-2.4058003820357747,6815.367188
218,27.222,-2.4067643688038656,6815.095703
219,27.347,-2.4068695031130227,6815.039063
220,27.472,-2.4061341445879907,6816.464844
221,27.597,-2.4047876457461266,6814.338867
222,27.722,-2.4031791464558965,6815.25293
223,27.847,-2.401669660232564,6814.709961
224,27.972,-2.4005471694964857,6815.279297
225,28.097,-2.3999883108512683,6815.252441
226,28.222,-2.40006779485185,6815.250488
227,28.347,-2.4007873928813632,6816.010254
228,28.472,-2.4020833543926354,6815.310547
229,28.597,-2.403799906853608,6815.008789
230,28.722,-2.4056636462388,6815.194336
231,28.847,-2.407305277684615,6815.407715
232,28.972,-2.4083405450791826,6816.494141
233,29.098,-2.4084840997717016,6816.037109
234,29.222,-2.4076578899779553,6814.852539
235,29.347,-2.4060567560744333,6814.408691
236,29.472,-2.404138183731714,6814.624023
237,29.597,-2.4025234931785793,6814.466309
238,29.722,-2.4018330036868987,6814.865234
239,29.847,-2.4025021584662514,6814.952637
240,29.972,-2.4046288280129,6814.224121
241,30.097,-2.4078990719359776,6814.4375
242,30.223,-2.411631046973335,6814.225098
243,30.347,-2.4149452838574454,6814.407715
244,30.472,-2.417016096610175,6814.40918
245,30.597,-2.4173171474132715,6814.679688
246,30.722,-2.4157709099105285,6814.4375
247,30.847,-2.412746103667278,6815.106934
248,30.972,-2.408905769170982,6815.378906
249,31.098,-2.4049722448080635,6814.137695
250,31.222,-2.4015111879581332,6815.165039
251,31.347,-2.398816171874569,6816.165527
252,31.472,-2.396912406687491,6813.609863
253,31.597,-2.3956446074200506,6813.679688
254,31.722,-2.3947977380076124,6814.708984
255,31.848,-2.394201391065596,6814.494629
256,31.972,-2.3937769991363065,6815.192871
257,32.097,-2.3935180597848205,6814.407715
258,32.222,-2.3934373323317666,6814.408203
259,32.347,-2.3935266401413084,6814.92334
260,32.472,-2.393745393802881,6815.62207
261,32.597,-2.394027715786139,6816.862793
262,32.722,-2.394299895768684,6815.980957
263,32.847,-2.3945039890055697,6816.408203
264,32.972,-2.394613355644673,6817.049316
265,33.097,-2.3946269082386307,6817.450684
266,33.222,-2.394552911954639,6817.048828
