序号,时间(s),电压,阻抗
1,0.022,-1.3674068453038086,7339.408203
2,0.148,-1.360670757385886,7336.621094
3,0.274,-1.3543868885898116,7340.77832
4,0.4,-1.348895466071319,7340.632813
5,0.526,-1.3444025260052606,7342.96875
6,0.653,-1.3409911752229333,7342.324707
7,0.778,-1.3386630943575846,7339.226563
8,0.904,-1.3373858176741906,7342.450195
9,1.03,-1.3371271069129498,7341.223145
10,1.156,-1.3378690909501347,7341.574707
11,1.282,-1.3396031715547645,7342.615723
12,1.408,-1.342308003786903,7342.315918
13,1.534,-1.3459134700190605,7341.244629
14,1.66,-1.3502603641398114,7338.604492
15,1.786,-1.3550726499829036,7339.933594
16,1.912,-1.3599571209529628,7336.651855
17,2.039,-1.3644352161972066,7341.140625
18,2.164,-1.368001034688031,7339.157715
19,2.29,-1.3701930227373733,7344.897949
20,2.417,-1.3706662428612975,7341.627441
21,2.542,-1.369254940875546,7341.407715
22,2.669,-1.3660155380948622,7336.962402
23,2.794,-1.3612386414627873,7339.026367
24,2.92,-1.3554212057055197,7341.912598
25,3.046,-1.3491978275176053,7340.833496
26,3.172,-1.3432407938089792,7341.116211
27,3.298,-1.3381500841203522,7339.518066
28,3.424,-1.334360888854989,7342.128418
29,3.55,-1.3320902535068355,7340.571289
30,3.679,-1.3313302027300333,7344.406738
31,3.802,-1.3318825419387808,7340.320313
32,3.928,-1.3334235439273767,7339.341797
33,4.054,-1.3355824864634842,7339.543457
34,4.18,-1.3380158314411568,7342.408691
35,4.306,-1.3404588484736975,7339.91748
36,4.432,-1.3427405098331577,7339.059082
37,4.558,-1.344759864988134,7342.27002
38,4.684,-1.3464404566550068,7342.860352
39,4.81,-1.347690940004601,7341.756348
40,4.936,-1.3483957061106984,7348.279297
41,5.062,-1.3484423936542327,7339.962402
42,5.188,-1.3477729384556951,7338.523438
43,5.314,-1.34643159603643,7340.725098
44,5.44,-1.3445857673742085,7337.666992
45,5.566,-1.342510324514647,7340.799316
46,5.692,-1.340540343853449,7343.922852
47,5.818,-1.3390047782718975,7337.993652
48,5.944,-1.3381580894060183,7340.944336
49,6.07,-1.338128556999951,7339.333496
50,6.196,-1.3388984163564293,7342.923828
51,6.322,-1.3403229837031274,7338.422363
52,6.448,-1.3421842344849233,7339.866699
53,6.574,-1.3442604586792666,7342.044434
54,6.7,-1.3463857557733137,7341.236816
55,6.826,-1.3484780403778778,7342.512695
56,6.952,-1.3505281928798158,7336.882324
57,7.078,-1.3525588542365632,7340.092773
58,7.204,-1.3545735365116447,7340.839844
59,7.33,-1.356518345226899,7339.851074
60,7.456,-1.3582692792155413,7341.421387
61,7.582,-1.359648273477833,7342.165527
