序号,时间(s),电压,阻抗
1,0.12,-0.3168652708021313,7052.291016
2,0.246,-0.3561076569338727,7050.618164
3,0.373,-0.4013793918037388,7050.285156
4,0.498,-0.45465190315666876,7052.678223
5,0.624,-0.5148656086229362,7049.875977
6,0.75,-0.5770990370956983,7051.039063
7,0.876,-0.6325050033381099,7048.565918
8,1.001,-0.6694586732525302,7053.681641
9,1.128,-0.6759800431491955,7047.303711
10,1.254,-0.6430795400565116,7052.671875
11,1.38,-0.5682779121131101,7051.17041
12,1.506,-0.45816117980415266,7051.814453
13,1.632,-0.32873443361795235,7054.717285
14,1.758,-0.2028951023991707,7048.631348
15,1.884,-0.10542039619201939,7051.214355
16,2.01,-0.05688264232385995,7051.534668
17,2.136,-0.06842914972286882,7051.264648
18,2.262,-0.13920001381170571,7053.994629
19,2.388,-0.25723426210559003,7052.741211
20,2.514,-0.4033320936200592,7051.005859
21,2.639,-0.5562503669980858,7051.92041
22,2.767,-0.6973901399662658,7048.145508
23,2.892,-0.8136992685415378,7053.066895
24,3.018,-0.8983766801431176,7053.454102
25,3.144,-0.9497434632255418,7054.26709
26,3.27,-0.9691681344122777,7055.257324
27,3.395,-0.9591058989916588,7053.314941
28,3.522,-0.9220627425685314,7056.332031
29,3.648,-0.8606954373777446,7053.951172
30,3.773,-0.7786272480547395,7062.938477
31,3.9,-0.6812764203338303,7144.370605
32,4.027,-0.5761435799537465,7204.830566
33,4.152,-0.4723277314093058,7233.078613
34,4.278,-0.379291796593083,7231.867188
35,4.404,-0.30510149742432446,7227.644531
36,4.529,-0.25462602682086083,7239.763672
37,4.656,-0.22838027684347972,7242.119629
38,4.781,-0.22254431329888327,7232.961426
39,4.908,-0.23024007637982757,7223.855469
40,5.034,-0.24365721046096997,7260.170898
41,5.16,-0.2562955947172032,7260.807617
42,5.285,-0.264533982521033,7254.143066
43,5.412,-0.2680274876200003,7254.46582
44,5.538,-0.26896240547920497,7254.925293
45,5.664,-0.27061935640728285,7257.878418
46,5.79,-0.27580449377680677,7239.359863
47,5.916,-0.28559129542655143,7262.615723
48,6.042,-0.2986684041174634,7249.686035
49,6.168,-0.3114933876337303,7254.758301
50,6.293,-0.3193065605877514,7268.254395
51,6.42,-0.31772767820474507,7256.430664
52,6.546,-0.3042904364355888,7293.646973
53,6.671,-0.279264529343912,7258.948242
54,6.798,-0.2455499818766539,7271.17627
55,6.923,-0.20787139937416454,7261.763672
56,7.05,-0.1716263239687537,7270.102051
57,7.176,-0.14170422574098865,7278.728516
58,7.302,-0.12159644689313448,7243.097168
59,7.428,-0.11307166619806783,7279.68457
60,7.553,-0.11645770155398877,7266.21875
61,7.681,-0.13127287112419714,7248.165527
62,7.805,-0.15684415206061794,7260.074707
63,7.931,-0.19267657069756902,7088.680176
64,8.057,-0.23849583445027225,7066.832031
65,8.183,-0.29395381962873823,7062.52002
66,8.31,-0.3580772815230961,7055.56543
67,8.436,-0.42872213156011385,7054.135254
68,8.561,-0.5023745375176228,7058.341309
69,8.687,-0.5744355207026547,7056.368652
70,8.813,-0.6398183135069828,7056.798828
71,8.94,-0.6935994629498763,7056.546387
72,9.066,-0.7315869737956505,7058.852051
73,9.192,-0.7507537545658772,7054.833008
74,9.317,-0.7494936078732447,7055.682617
75,9.443,-0.7277315553217875,7054.035645
76,9.57,-0.687031243166439,7057.614746
77,9.696,-0.6308071311955953,7057.194824
78,9.821,-0.5645316412930718,7055.07373
79,9.947,-0.4956327881839163,7056.20166
80,10.074,-0.4328185104542336,7057.819336
81,10.199,-0.38479449746881716,7055.671875
82,10.326,-0.3585698418510674,7058.709961
83,10.452,-0.35772505079364925,7053.286621
84,10.577,-0.3811809722747758,7056.014648
85,10.704,-0.42301436617986715,7055.888672
86,10.83,-0.47355523341010014,7051.522461
87,10.955,-0.521507248458111,7052.468262
88,11.081,-0.5564810640858369,7054.905762
89,11.208,-0.5712672959562467,7056.102539
