时间(s),电压(V),幅值(高频80K)
0.0,-2.0099520323879756,5903.203775409497
0.004,-2.0345833088679544,5916.807727765999
0.008,-2.0487108593826484,5899.937305109928
0.012,-2.9475341644526427,5907.999438128333
0.016,-2.7253306578238954,5906.3146264990555
0.02,-2.2843950263429393,5904.189743199936
0.024,-2.110954068511881,5893.837913193682
0.028,-2.2366707353714412,5913.227237738478
0.032,-3.085007940167494,5899.815678259949
0.036000000000000004,-2.6339754418620878,5895.528509173501
0.04,-2.4806448733811552,5893.240975772455
0.044,-2.2293920377428296,5906.676379261286
0.048,-1.9604203331464813,5902.061687714108
0.052000000000000005,-2.8263449125190983,5897.517863109106
0.056,-2.988091229658277,5903.409847506313
0.06,-2.722001632102572,5897.324706864026
0.064,-2.39800659736278,5912.766238030945
0.068,-2.1523274441966653,5900.002287624324
0.07200000000000001,-2.5013068259044005,5900.031999563874
0.076,-3.044254903847939,5904.054433921142
0.08,-2.5621575927454416,5898.657983188004
0.084,-2.131976435582587,5902.910045906361
0.088,-2.2206472176503005,5898.467369254204
0.092,-2.505586409374418,5908.479363853469
0.096,-3.177524747985642,5901.388619118369
0.1,-2.683235725716638,5905.714783307467
0.10400000000000001,-2.1579708833384847,5898.51454193115
0.108,-2.033531473184764,5912.070635154919
0.112,-2.573963936521336,5902.891911273557
0.116,-3.25107036462224,5887.175077728107
0.12,-2.3755199931775692,5899.056760363997
0.124,-2.1161464552957976,5905.113351771321
0.128,-2.0975738262157084,5893.5708486159865
0.132,-3.295079855528361,5889.850839400959
0.136,-2.990638430925092,5897.501554545761
0.14,-2.860195491970778,5905.711834587638
0.14400000000000002,-2.0609565890671755,5904.880899161556
0.148,-2.309932327611516,5901.781218529704
0.152,-2.468944412773823,5896.3875946272165
0.156,-3.146538543154882,5907.309268470011
0.16,-2.6854981924863557,5889.30838032403
0.164,-1.8888370411495257,5901.474129675244
0.168,-2.343227489719634,5895.924728136537
0.17200000000000001,-2.902212954508501,5905.071017047674
0.176,-2.9203203650479614,5900.394571634411
0.18,-2.6045150968166735,5899.805239417221
0.184,-2.243820766450907,5891.110208122181
0.188,-2.189935917958435,5901.957423253215
0.192,-2.643912275699388,5900.934872580701
0.196,-3.054873844729911,5895.431173077169
0.2,-2.8613980027997807,5896.879413478645
0.20400000000000001,-1.8334685182946913,5905.5565375505585
0.20800000000000002,-2.155231192476579,5901.882079445683
