时间(s),电压(V),幅值(高频80K)
0.0,-2.6661326662910647,5901.69187706973
0.004,-1.7329836582908462,5901.333288953995
0.008,-2.3012005475370043,5900.777188072111
0.012,-2.6726282009730555,5897.775161024118
0.016,-2.7995441566735284,5891.813163972961
0.02,-2.5413204838439194,5897.628428045589
0.024,-1.8010461744222122,5902.859352352627
0.028,-2.1367490540603944,5905.103870926636
0.032,-2.7522698676516297,5901.028064441312
0.036000000000000004,-3.198067267842397,5904.407830289757
0.04,-2.6008846074953245,5901.3369279135795
0.044,-2.0171165340027337,5901.461066333467
0.048,-2.0980893088565247,5896.36543628006
0.052000000000000005,-2.6699225022992126,5900.820342712996
0.056,-3.1656337730080626,5907.218690321951
0.06,-2.279209157430142,5903.897428403546
0.064,-2.3654432010440694,5903.347828912234
0.068,-2.1179093503171003,5890.652325993251
0.07200000000000001,-3.0573518714928047,5896.5515398792995
0.076,-2.904687849440829,5897.53326006917
0.08,-2.7083519692210554,5900.686501459708
0.084,-2.1626559973800026,5916.249803554301
0.088,-2.2124831226389006,5903.601824254025
0.092,-2.9778323688825186,5902.668042777043
0.096,-3.0851365630579055,5897.518016356446
0.1,-2.2374780974365827,5903.651963525683
0.10400000000000001,-2.437645102005878,5892.321706376945
0.108,-2.0894134571599867,5902.419017153406
0.112,-2.8171789122221327,5897.907369820423
0.116,-2.9209942656310948,5897.844221665154
0.12,-2.7253598170224715,5893.067089307776
0.124,-2.100327720668058,5899.170318991728
0.128,-1.8783986028054733,5901.4158621518245
0.132,-2.7357334604854344,5898.923967305714
0.136,-3.452654835049186,5892.127387672726
0.14,-2.9054431365722198,5896.806614555119
0.14400000000000002,-2.418094721201331,5898.163351219256
0.148,-2.2908858010857256,5907.9117236216825
0.152,-2.2822114987056965,5903.330119312039
0.156,-3.0883917159249683,5902.621340142163
0.16,-2.4588654577448836,5891.6017945995445
0.164,-1.7424093483982372,5900.973722608915
0.168,-1.9880123423029512,5909.62183633794
0.17200000000000001,-2.7305512001920174,5896.924210895482
0.176,-3.0934561665415736,5904.602248525051
0.18,-2.2891258078115935,5902.817569960134
