时间(s),电压(V),幅值(高频80K)
0.0,-2.490137625983822,5902.191871980914
0.004,-2.1043878367815467,5896.525409728222
0.008,-2.023190489664442,5891.676793690114
0.012,-2.815202871952478,5898.26137615691
0.016,-2.857719761854632,5888.900688037078
0.02,-2.7593126430204427,5892.361375093251
0.024,-2.001772905763834,5899.965794664276
0.028,-2.031710960544728,5893.655507052781
0.032,-2.9645696737668596,5897.51900470294
0.036000000000000004,-2.8707121746052158,5903.983758109819
0.04,-2.3818192700259617,5896.033838620944
0.044,-2.161463900938546,5902.691021670703
0.048,-2.5278391681819876,5901.92269280795
0.052000000000000005,-2.916432383655661,5894.427249346596
0.056,-3.0646693236820823,5894.367873957974
0.06,-2.296194683980185,5911.262504702658
0.064,-1.8050591347607956,5902.643454047685
0.068,-1.9605789194762746,5907.685262209997
0.07200000000000001,-2.8762130624296858,5895.298116278558
0.076,-2.904055894752138,5892.525811424286
0.08,-2.7062705816677197,5894.848568842024
0.084,-1.6881017980654631,5898.874815855267
0.088,-2.2086633812395142,5904.471335798756
0.092,-3.048230076187102,5896.375275956415
0.096,-3.0867920305233696,5890.316319948293
0.1,-2.552449434316027,5893.586499879887
0.10400000000000001,-2.301604714411375,5907.61889922429
0.108,-2.1755175543183207,5909.156458829258
0.112,-3.002630200155549,5902.072202606192
0.116,-3.2556565431220905,5905.855788199084
0.12,-2.557539903520146,5899.891677350114
0.124,-1.8360059640749793,5906.170416696392
0.128,-1.9521377576325545,5902.501529777851
0.132,-2.4748204468214143,5895.178365138457
0.136,-3.1202857759104474,5899.781048287888
0.14,-2.804510730944402,5895.4755394132135
0.14400000000000002,-2.127497434329299,5893.62152748768
0.148,-2.23643286230736,5897.144229482325
0.152,-2.5888380894718885,5906.339805014253
0.156,-2.832238709730278,5896.91447695307
0.16,-2.9379601980693,5899.652837391009
0.164,-2.0981830281996072,5894.783419857498
0.168,-2.2730110566825408,5897.185524323944
0.17200000000000001,-2.9551032446348575,5902.73900713501
0.176,-2.8487434257774935,5901.609236408483
0.18,-2.4341189709718196,5898.716941779502
0.184,-1.470018631427552,5904.059635978524
0.188,-2.1273159397353205,5899.393441954121
0.192,-3.249653567384911,5894.616963183065
0.196,-3.062863675529461,5893.331741881251
0.2,-2.447921916418563,5888.601402082371
0.20400000000000001,-2.2625915002089565,5899.808932976248
0.20800000000000002,-2.5460693161677157,5903.309073846673
0.212,-2.714581674242037,5897.747450643007
0.216,-2.981784199807662,5904.3801730807245
0.22,-2.4388034752888075,5907.068413895751
0.224,-1.9171371419596097,5896.890254478202
0.228,-1.712757902645845,5896.365897012234
0.232,-3.156617808329789,5894.339004926947
0.23600000000000002,-3.131200960994672,5906.839915196985
0.24,-2.4410900849872674,5906.589367966786
0.244,-1.4925246372978547,5898.149913969482
0.248,-1.9320094926631393,5899.673295621742
0.252,-2.9726595892115335,5893.340460833885
0.256,-3.0566990405213237,5894.067987339561
0.26,-2.6322312504472833,5898.845097701485
0.264,-1.9702941451565632,5895.940736062121
0.268,-2.3177954433311303,5898.308192835572
0.272,-2.921779861255503,5902.222589373662
0.276,-3.1208695029414026,5900.855296167511
0.28,-2.4448986858921624,5908.312850288053
0.28400000000000003,-2.208086587692016,5898.899313737518
0.28800000000000003,-2.115252201704737,5903.282841789834
0.292,-2.858854696689395,5903.387246634106
0.296,-3.09006733794781,5908.998472945515
0.3,-2.3503422199447135,5895.587644356664
0.304,-2.0373560461681444,5897.387450863055
0.308,-1.9726230542431429,5897.214957631083
0.312,-2.7093311817346235,5905.198010166924
0.316,-2.96892329154556,5912.842639784702
0.32,-2.5075310113181164,5893.869945356559
0.324,-2.3907936169250554,5901.248581989898
0.328,-2.2223386683672794,5901.482317154762
0.332,-2.935933610736453,5897.25541960218
0.336,-3.031821627849315,5898.905476896427
0.34,-2.7288404163236715,5900.736609402736
0.34400000000000003,-1.959670995553464,5894.062348003702
0.34800000000000003,-1.8449080512532965,5902.330723757517
0.352,-2.4198377705221272,5893.688304877182
0.356,-3.0230688469493336,5908.574907633219
0.36,-2.429888683467648,5907.054425570497
0.364,-1.9022800662570751,5894.6930930608705
0.368,-2.6177081349950178,5896.855695387356
0.372,-2.60127509808776,5897.573225886621
0.376,-3.1025142040559768,5895.741062522604
0.38,-2.4723318457262673,5902.032894611578
0.384,-1.993881226736899,5902.931556620997
0.388,-2.47498132390071,5899.6905654496295
0.392,-2.539262591555298,5904.407175665551
0.396,-3.1023375327478724,5901.985755587322
0.4,-2.690502541927238,5904.054055036269
0.404,-1.9560447061357082,5895.07729560036
0.40800000000000003,-2.4267531542286127,5898.679816667347
0.41200000000000003,-3.0139540806525833,5901.789830459627
0.41600000000000004,-2.908089255574604,5901.771285571168
0.42,-2.634016678780771,5892.238159891283
0.424,-1.5924846315168626,5900.7785169728695
0.428,-2.3111791495701413,5903.725408243828
0.432,-2.7463497848411516,5900.070930086968
0.436,-2.7589702776940124,5895.002452917592
0.44,-2.615919430764053,5886.092558068019
0.444,-1.9521248884145275,5903.655668976971
0.448,-2.297063736947863,5895.221739361226
0.452,-2.6130161830509038,5902.580073301824
0.456,-2.685469125947884,5905.837061751449
0.46,-2.5618606028368465,5896.523928609643
0.464,-2.1742144696233807,5895.448553047465
0.468,-1.9620268698398144,5903.1558360600275
0.47200000000000003,-3.0185431446277367,5892.43804441939
0.47600000000000003,-3.1018941497457044,5899.353489612592
0.48,-2.1642507393097565,5904.715071123243
0.484,-2.0736183306938867,5897.19095536867
0.488,-2.097244104124772,5907.45735981752
0.492,-2.7485035650999214,5902.670546630365
0.496,-2.5383237795632354,5893.558830208895
0.5,-2.2609941342352453,5893.728525362664
0.504,-1.6659578578244711,5898.705981069002
0.508,-2.274223737113548,5915.316729945829
0.512,-2.936079881039217,5888.945657072029
0.516,-2.983875441606596,5910.265458632469
0.52,-2.5252742609065404,5900.696506822602
0.524,-1.7577498693860072,5902.801398169015
0.528,-2.169997383617313,5895.833191194132
0.532,-2.721498731458959,5902.001885316953
0.536,-2.663155049571597,5900.896092929289
0.54,-2.7558353216374116,5891.6307238837135
0.544,-1.8883650880971066,5907.5590084209125
0.548,-2.174972543425661,5896.635319626535
0.552,-2.855908643266976,5902.064434146181
0.556,-3.338467297587211,5894.186874196437
0.56,-2.567949323769242,5915.336575239113
0.5640000000000001,-2.2921892508048405,5905.261033414432
0.5680000000000001,-2.3103373133366256,5900.212106683303
0.5720000000000001,-2.680989970376513,5901.724109057332
0.5760000000000001,-2.7282491134958944,5898.725494368574
0.58,-2.5765595959660406,5906.214358054704
0.584,-1.8648975298506139,5901.412583403403
0.588,-2.188147813640978,5900.205098253577
0.592,-2.726776039720441,5902.309280511027
0.596,-3.1250488046142557,5892.588926166055
0.6,-2.19588371188187,5900.039130672581
0.604,-1.753802467045412,5902.516287346906
0.608,-2.3229799090232586,5906.429851813739
0.612,-2.5545606474341733,5902.07900077315
0.616,-3.055244539415637,5905.815854046487
0.62,-2.384299033332703,5899.57358208914
0.624,-1.555871507131405,5905.660323424105
0.628,-2.162208873016876,5899.827705376288
0.632,-2.590210309479051,5900.29505420882
0.636,-3.0015545385661238,5900.232831640062
0.64,-2.714698234406679,5903.89058387548
0.644,-2.102214090851446,5888.676663061025
0.648,-2.2038393159109098,5920.51944191465
0.652,-2.9024474943949405,5897.319330117414
0.656,-3.191016005978491,5908.504867363478
0.66,-2.4181656509780733,5905.3397779852885
0.664,-2.0093678894376468,5895.512822880039
0.668,-2.365984734861814,5902.67997176958
0.672,-2.5489875412412886,5909.596659823959
0.676,-3.2878847637759474,5895.079683791289
0.68,-2.5663252052194045,5898.969675856367
0.684,-1.8830726775845605,5902.027582844016
0.6880000000000001,-2.472094566501582,5904.945323138489
0.6920000000000001,-3.0197123420311653,5902.771051656965
0.6960000000000001,-2.8676178795482525,5896.656170046555
0.7000000000000001,-2.669301384248331,5905.175966255845
0.704,-2.4665541931699866,5905.714274558372
0.708,-2.196205471964662,5904.832122170045
0.712,-2.8600579474737002,5894.255072386164
0.716,-3.012743969472302,5900.56503187221
0.72,-2.8590995729124424,5910.485956411232
0.724,-2.0069906100706794,5897.634602859759
0.728,-1.8198786805048934,5891.133512103747
0.732,-2.599047561408269,5901.91639853147
0.736,-2.8608522595408976,5896.405508165682
0.74,-2.362938721952598,5907.078073206051
0.744,-2.217937975931701,5899.396442976155
0.748,-2.4407425072859716,5898.7871082282845
0.752,-2.7298342084623135,5900.867551850277
0.756,-3.158172402491203,5894.387479404316
0.76,-2.7748206859210307,5903.203832684355
0.764,-2.065764755665099,5907.567894328262
0.768,-2.009383367457129,5900.013794058794
0.772,-2.6284902418808835,5899.763519898187
0.776,-2.8918835031131263,5898.848596659208
0.78,-2.605369677839928,5909.986240262274
0.784,-2.129117764410074,5903.049269396592
0.788,-2.1141610507730704,5897.490475241951
0.792,-2.7525144792980973,5899.725809813163
0.796,-3.1574787739664703,5900.053768472332
0.8,-2.8011608840399056,5905.798869360622
0.804,-2.0801137905591696,5892.456083198122
0.808,-2.519774890749728,5896.830851709282
0.812,-2.790080470095842,5911.763397827306
0.8160000000000001,-2.9102637297855196,5907.257009206201
0.8200000000000001,-2.765641256358177,5910.123344409326
0.8240000000000001,-2.3898904308545177,5900.941428152591
0.8280000000000001,-2.0377775040647634,5910.363419007912
0.8320000000000001,-2.551735936109566,5908.549774796044
0.836,-2.7551500474184367,5896.943515921521
0.84,-2.6386454819529503,5897.540973927535
0.844,-1.7017395737529522,5912.287338233978
0.848,-2.5335488105777952,5898.011660502325
0.852,-2.5216211846302237,5900.032538339596
0.856,-2.9743582897517475,5909.136854759564
0.86,-2.1802151449664007,5900.738769844865
0.864,-1.8742383878470323,5899.622417757845
0.868,-1.9599776876950714,5897.0286876301325
0.872,-2.967509440534492,5898.11647122182
0.876,-3.2207056431890475,5900.7125944359395
0.88,-2.6284449518176562,5901.669193425749
0.884,-1.9266806722330092,5895.86954121603
0.888,-2.4015219194681734,5895.2541520736195
0.892,-2.944159477454532,5905.388194497069
0.896,-3.053242509742536,5903.48349310561
0.9,-2.5216141558849943,5899.406047486793
0.904,-2.265392119222581,5908.144718964731
0.908,-1.996237538649609,5902.674713672032
0.912,-3.027297699705426,5904.357537074951
0.916,-3.146228673416755,5907.536561836188
0.92,-2.2026792179800223,5891.228558751226
0.924,-1.8212206925745793,5908.209695575919
0.928,-2.075343409736331,5895.659084349862
0.932,-2.2605746889813303,5895.051004682939
0.936,-2.924617770260001,5901.832763708402
0.9400000000000001,-2.3231756893363547,5894.134400427597
0.9440000000000001,-1.812221264113742,5899.132044559749
