时间(s),电压(V),幅值(高频80K)
0.0,0.5896787323476559,5892.782270992364
0.004,0.7171978239945338,5896.842307209456
0.008,0.8352128574611737,5896.272098517933
0.012,0.9365094469819717,5910.222770424155
0.016,1.0164263092264219,5885.260635414298
0.02,1.0730924742314876,5902.568541407157
0.024,1.1070893895519252,5903.662888841343
0.028,1.1209162450776655,5889.691157216577
0.032,1.1184717702279323,5895.449873772546
0.036,1.1045538784197777,5900.183158332539
0.04,1.0843179787553885,5906.573346043544
0.044,1.0626878047084247,5894.795605750327
0.048,1.0437615375543075,5893.252135295755
0.052,1.0302788218867374,5895.230914445484
0.056,1.0232748287768942,5898.886960022505
0.06,1.0221410716775396,5890.845518254147
0.064,1.0252675436303929,5896.1779511472105
0.068,1.0311009325730716,5898.011315019387
0.072,1.039022644179379,5903.959415625059
0.076,1.0494364856735305,5900.753377025046
0.08,1.0630387533714232,5886.306867506612
0.084,1.0798882416822353,5898.568926115077
0.088,1.0989453207136395,5888.786018482778
0.092,1.1182553734731147,5904.041927582744
0.096,1.135509665689724,5902.301757263014
0.1,1.1486621294829442,5900.236388050584
0.104,1.1564279750040602,5893.342377821669
0.108,1.1585701590012873,5905.136012009228
0.112,1.155889525090226,5900.558014421125
0.116,1.1499134253063157,5899.85730053519
0.12,1.1424316734322677,5895.7421502280185
0.124,1.1351040592578057,5901.756652074421
0.128,1.1292519603655562,5882.974714044578
0.132,1.1257427650809675,5898.561713209007
0.136,1.1248077293563383,5894.529292575302
0.14,1.1258017864013228,5911.819361166373
0.144,1.12713889347045,5894.022209133239
0.148,1.126651299009243,5904.933108690473
0.152,1.122372015220671,5905.487302296459
0.156,1.1134285518772877,5903.732248778434
0.16,1.1006007065590948,5897.3369711497535
0.164,1.0862133791552406,5904.461195372422
0.168,1.073320445932481,5895.604938855639
0.172,1.0644580231339267,5899.842184871199
0.176,1.0604988894580702,5904.302673030574
0.18,1.0601902199149609,5902.641459382509
0.184,1.0606713676426627,5898.298644917178
0.188,1.058735320578703,5901.3494520061895
0.192,1.0521826296660985,5902.701468354996
0.196,1.0406297543142076,5896.12715845493
0.2,1.025509903990923,5896.359977372795
0.204,1.0094154623678333,5900.200051925243
0.208,0.9951471162047286,5897.953097417815
0.212,0.9848664439916683,5897.189498891338
0.216,0.9796683285976031,5901.139642192455
0.22,0.979700357217355,5906.013717755288
0.224,0.9846871397559992,5907.334193583221
0.228,0.9944979448989876,5904.982066210599
0.232,1.0093804903135426,5894.887708320449
0.236,1.029712441728918,5907.704952663385
0.24,1.0554377058380233,5893.169040864942
0.244,1.0855202107107629,5898.868848337896
0.248,1.117684148949412,5895.609987601201
0.252,1.148537708966751,5898.787128154581
0.256,1.1740513547842037,5901.574379716752
0.26,1.1903210491068485,5899.169888580935
0.264,1.1945005146266228,5903.346162276077
0.268,1.1856598032691472,5895.920773529967
0.272,1.1652251924724368,5896.936748276251
0.276,1.1367629100601062,5905.5748187634645
0.28,1.1051781221019332,5895.480893158785
0.284,1.075667886838223,5901.341049972322
0.288,1.0527821772088546,5896.712573158382
0.292,1.039760652188917,5897.686356553759
0.296,1.0381337261340702,5895.016041948832
0.3,1.0475143399464,5894.10635627995
0.304,1.0655280277396488,5899.986895972518
0.308,1.0878979973829384,5896.119703063314
0.312,1.108810792117367,5894.480909254695
0.316,1.121761893721225,5903.898423453151
0.32,1.1209843903675043,5897.619297868083
0.324,1.1032581259906085,5902.48444491305
0.328,1.0695372558108471,5902.333361457221
0.332,1.0256677938385586,5902.9603874549975
0.336,0.9816441559548161,5912.086586571994
0.34,0.9493347754671515,5905.869942912489
0.344,0.9392069663946039,5894.512257598628
0.348,0.9570717030849493,5906.786617144002
0.352,1.0020142172650521,5900.071431558942
0.356,1.066309579786607,5900.039195214106
0.36,1.1373637917910844,5901.5723761222125
0.364,1.2009953412281604,5903.474489145386
0.368,1.2450244680220655,5895.654402069866
0.372,1.2621659838371888,5891.01247290318
0.376,1.2514852935176108,5899.780158734598
0.38,1.21811895862669,5893.334654368369
0.384,1.1714961518426004,5899.749092671446
0.388,1.122704560741506,5895.421915742108
0.392,1.0817568140401366,5897.81981086278
0.396,1.0554064811482764,5901.381045207169
0.4,1.0459895649127886,5902.885779326641
0.404,1.0515265605181487,5897.364998941946
0.408,1.0669613106921032,5898.74535336509
0.412,1.0860515459653028,5906.30908375488
0.416,1.103263588407295,5899.315554701689
0.42,1.1151146397176546,5913.497670408506
0.424,1.1206425529877249,5891.170475864711
0.428,1.1209771085296314,5902.291282216689
0.432,1.118308945621041,5897.284862273576
0.436,1.1147883501383693,5909.725743985078
0.44,1.1118543783315482,5903.075750944081
0.444,1.1101668452383364,5903.239004818506
0.448,1.1099153553670558,5894.3858004323765
0.452,1.1111170447143948,5902.107978626338
0.456,1.1136730019055279,5895.774759786038
0.46,1.117218068715645,5901.017507699672
0.464,1.1209460567555376,5902.298721820538
0.468,1.1236083320312202,5905.879510085064
0.472,1.123819468135331,5901.572501405937
0.476,1.1206428237396677,5908.619017631206
0.48,1.1142047819164416,5898.745751014585
0.484,1.1059711048120437,5903.894086987314
0.488,1.098470319262092,5903.915908213178
0.492,1.094580625176396,5903.320813841287
0.496,1.0967169916227402,5903.813387497012
0.5,1.1062071775881483,5893.403448583282
0.504,1.122966470185917,5891.993779775626
0.508,1.1454548294980198,5898.007732240927
0.512,1.1708595190016033,5904.248665968576
0.516,1.1954688443793366,5894.336663142489
0.52,1.2152575703729513,5905.769318753791
0.524,1.226686974223577,5895.649745725181
0.528,1.2275722171895698,5899.506596504313
0.532,1.2177204027871258,5896.027202614028
0.536,1.1990724453484185,5903.811921755959
0.54,1.175287626381684,5897.87827243821
0.544,1.1509343240162657,5895.453985026005
0.548,1.1305536756285002,5896.939217388826
0.552,1.1178197688193958,5898.164584025021
0.556,1.1149126039687047,5899.4811611563055
0.56,1.1221546559711315,5900.723215333556
0.5640000000000001,1.1379664203701105,5899.095450618874
0.5680000000000001,1.1592046683739845,5899.992609610811
0.5720000000000001,1.18188051485271,5903.556195774352
0.5760000000000001,1.2021061146210308,5900.805848084679
0.58,1.2169819540073508,5894.255483439653
0.584,1.2251341211235767,5906.576255071691
0.588,1.2267579757830165,5900.843081342077
0.592,1.2232080350178827,5900.036026505432
0.596,1.2162885736912452,5910.626506444981
0.6,1.2074433938924771,5904.152217677742
0.604,1.1970718743621138,5894.433584384008
0.608,1.18422190988743,5908.138842556247
0.612,1.166855633148475,5902.462475271022
0.616,1.1426969798784035,5897.382592215466
0.62,1.1104278036970272,5894.553629595482
0.624,1.0708253476583025,5905.090054319058
0.628,1.0273607659438024,5904.203015194804
0.632,0.9858263008159616,5903.459575462305
0.636,0.9528522864607794,5902.353771884384
0.64,0.933741931953367,5898.554365998738
0.644,0.930556550829891,5900.606038762091
0.648,0.9413559532187686,5895.4363997353485
0.652,0.9608842261591429,5890.178090941072
0.656,0.9822671337495278,5906.861948579209
0.66,0.9989546286481028,5904.596974640637
0.664,1.006263383089556,5902.970499630843
0.668,1.002187717331683,5906.640277076072
0.672,0.9874497670522406,5900.505441975542
0.676,0.9649937294663006,5900.164250513373
0.68,0.9392244596848538,5892.92799083682
0.684,0.9151960996914836,5900.557634253764
0.6880000000000001,0.8978003450111133,5899.444033617309
0.6920000000000001,0.8909826996533458,5897.918427981803
0.6960000000000001,0.8971123565357683,5898.327105223735
0.7000000000000001,0.916649703427725,5910.120909506924
0.704,0.9481307312214853,5892.707332154041
0.708,0.9883804034400053,5890.491311906498
0.712,1.0329058816266028,5896.566980593912
0.716,1.0765045764701398,5907.626779856858
0.72,1.1140696406845627,5895.395315133223
0.724,1.141413807540688,5903.226535392781
0.728,1.155887697833556,5902.385909563237
0.732,1.1567162853154551,5902.941484568567
