时间(s),电压(V),幅值(高频80K)
0.0,3.0705800861212373,5889.3080342898365
0.004,1.1989872844357212,5901.138038590281
0.008,-0.41571473497381617,5902.328475789828
0.012,-1.583230051736574,5902.345818228279
0.016,-2.212258721021241,5894.0506353303645
0.02,-2.323516881858507,5906.904761331763
0.024,-2.0316432195798124,5905.817866578264
0.028,-1.503810405956231,5898.537863739958
0.032,-0.9118264551429996,5908.361746475008
0.036,-0.3936501256963211,5894.747950611342
0.04,-0.0313743157890628,5908.290782430175
0.044,0.1553740987523062,5897.932495243553
0.048,0.20339575129231183,5902.597630254463
0.052,0.18828981164693523,5905.993495611204
0.056,0.1970571106269724,5897.911795321345
0.06,0.2971549300031874,5897.300533093933
0.064,0.5120415893987974,5906.253596699791
0.068,0.8123281349077388,5902.907378860158
0.072,1.1258164210428887,5892.485133332769
0.076,1.3622783863447363,5902.436748763763
0.08,1.4436153831103253,5893.676306669036
0.084,1.3289354205442,5891.397529486194
0.088,1.0268573205720486,5898.758266930299
0.092,0.5923323322620211,5901.240254961784
0.096,0.11033302187555165,5903.305323787605
0.1,-0.32766957881852465,5908.309531633469
0.104,-0.6471013890090974,5901.32371119786
0.108,-0.8069850854439045,5899.5840747973125
0.112,-0.805839926509029,5896.576332537059
0.116,-0.6761119183352301,5912.032688187274
0.12,-0.4701687860749093,5897.272767808195
0.124,-0.2435899422093744,5895.75735724756
0.128,-0.04154527335779412,5901.793566774289
0.132,0.10857381729785207,5903.635430331916
0.136,0.19838936058771564,5899.480989491191
0.14,0.23568065930410417,5894.146892988034
0.144,0.2396496055317153,5899.203159511654
0.148,0.23556410950310602,5909.324715755314
0.152,0.24903439237354055,5899.534596429428
0.156,0.3002573922205868,5904.861935445624
0.16,0.3995293525345154,5902.119092334171
0.164,0.5456692421861116,5895.033609391333
0.168,0.7279699315999998,5904.008516908682
0.172,0.9304973578784334,5895.556798150718
0.176,1.1360983919540382,5895.608696122062
0.18,1.327679645418386,5896.030362048431
0.184,1.4865140548459168,5906.42901296406
0.188,1.5897913789659035,5901.004463475035
0.192,1.6104575406685204,5895.367130224488
0.196,1.5214713279428278,5898.341397814654
0.2,1.3045980421181205,5901.37462639837
0.204,0.9611849990547967,5903.985139758135
0.208,0.5200703753165251,5897.329695779811
0.212,0.03756358750277509,5898.177694916333
0.216,-0.41282352703797975,5905.087263512868
0.22,-0.7584670226484633,5909.605190450504
0.224,-0.9470474783284275,5895.374305198927
0.228,-0.960233584573633,5907.977643915745
0.232,-0.8176183124271086,5885.604723762776
0.236,-0.5706521303420923,5904.538418619304
0.24,-0.2885298215472697,5903.668288803171
0.244,-0.039341740744371724,5905.09693371116
0.248,0.12843538466389554,5907.660611022952
0.252,0.19790800878220016,5901.990188997466
0.256,0.18463599739708253,5902.938242536973
0.26,0.1262382210758698,5907.798036981832
0.264,0.06523896988808205,5900.894123420287
0.268,0.032103148538552145,5900.889905040375
0.272,0.03486631093133603,5905.502757810722
0.276,0.05894585925200054,5899.956761727018
0.28,0.07676012709304215,5896.313743342625
0.284,0.06302603895820218,5910.586305832168
0.288,0.009425309004526936,5900.05410447524
0.292,-0.0676761553139033,5906.50771523918
0.296,-0.13061579588790015,5897.562758513437
0.3,-0.13478993807930742,5895.049498792765
0.304,-0.0484320426738682,5910.885376797614
0.308,0.1313006843408309,5898.894034350673
0.312,0.37394958943547774,5899.497203917533
0.316,0.6256126392791879,5902.897416901813
0.32,0.828931968806359,5907.366285253223
0.324,0.9446149199324518,5903.049364984839
0.328,0.9651614723192569,5892.74569463205
0.332,0.9148105353207414,5898.779991374721
0.336,0.836021855873246,5902.658816381294
0.34,0.7692148169684246,5898.629309448524
0.344,0.735569869904545,5895.9524883759705
0.348,0.7304006384407337,5896.247551851327
0.352,0.7279985058919649,5888.9801433504745
0.356,0.6926716418837027,5900.478588925807
0.36,0.5896785136302592,5900.423775983736
0.364,0.3933803538112114,5899.952453716153
0.368,0.09340624017611443,5902.320171383619
0.372,-0.3001918003173053,5891.222338834304
0.376,-0.7539915713334749,5899.620624946567
0.38,-1.2133137051513563,5901.801317917338
0.384,-1.6111352978350133,5899.468676175077
0.388,-1.882210332958088,5897.59991279528
0.392,-1.9780720068169717,5898.84606164985
0.396,-1.8781211361853867,5902.0511761101225
0.4,-1.5935377919123468,5902.767367792309
0.404,-1.163879207616877,5898.962914306865
0.408,-0.6493397567489109,5901.357502913577
0.412,-0.12174612936465207,5902.694904820167
0.416,0.34545694454579406,5894.744566179972
0.42,0.6893767495208635,5900.803113414673
0.424,0.8706972699359049,5901.713311019656
0.428,0.882885422737148,5898.5749218128285
0.432,0.7526443129181892,5907.985027537911
0.436,0.5301408029168971,5895.633745964507
0.44,0.2721911994756956,5893.872312813248
0.444,0.0245303276425437,5901.465475635403
0.448,-0.19044982153172685,5896.863394767774
0.452,-0.37566399674150913,5900.92860573956
0.456,-0.5493382098794042,5896.1265559419735
0.46,-0.7267500192513966,5899.165687854505
0.464,-0.9028292523295809,5889.979879883588
0.468,-1.045480459386722,5901.331468538231
0.472,-1.103820276545578,5899.011466109699
0.476,-1.027339173886342,5899.1854251841805
0.48,-0.7865871440794847,5890.027663502693
0.484,-0.38586718061305003,5902.588346261466
0.488,0.1369644693417336,5894.832050293666
0.492,0.7218859934163073,5897.973312360834
0.496,1.3028130240242257,5901.191515437658
0.5,1.8214487481425008,5910.387461834285
0.504,2.2348113522042508,5898.210435733956
0.508,2.5159607454702155,5901.058572825891
0.512,2.649939508803183,5901.49478802426
0.516,2.6281323032502417,5899.83179302175
0.52,2.4445418361209508,5901.844871407117
0.524,2.0967773545198995,5893.379437365849
0.528,1.5922921267516794,5904.981250219699
0.532,0.9571337166659187,5902.656175869055
0.536,0.24232281995201402,5894.355059162991
0.54,-0.47643622287937276,5901.2697004659685
0.544,-1.1073912065932554,5901.060562968993
0.548,-1.5586383197844476,5900.071182006169
0.552,-1.7581377855046072,5892.267325543667
0.556,-1.673045997304284,5902.860740085419
0.56,-1.322507097733018,5902.319269056529
0.5640000000000001,-0.7788067712020339,5907.507348435715
0.5680000000000001,-0.15498254981202586,5919.130093425892
0.5720000000000001,0.41856013329898895,5897.310450250267
0.5760000000000001,0.8224057582879721,5892.59162629755
0.58,0.9743787987055176,5900.938202176965
0.584,0.8474353294314747,5896.555911805744
0.588,0.4746382212187822,5903.911725858031
0.592,-0.06052129871193771,5907.240151840939
0.596,-0.6459218058588765,5895.423148093752
0.6,-1.1679890974724463,5890.900220239749
0.604,-1.5357668567340248,5899.627334684412
0.608,-1.6953799279304393,5895.448685872521
0.612,-1.6332503984555204,5900.543677731228
0.616,-1.3712343435597494,5904.99523222429
0.62,-0.9585127218144193,5897.830080874957
0.624,-0.4630916755893131,5892.3503750378095
0.628,0.03740119691812011,5896.370589619419
0.632,0.4672482890117227,5898.293193320102
0.636,0.7664440871470202,5902.131651925186
0.64,0.9035454466343572,5901.18892953558
0.644,0.8824985536951454,5900.045123877822
0.648,0.7397171333878683,5898.051757784864
0.652,0.5317338046952499,5892.953328750075
0.656,0.31789494013900027,5887.309217593868
0.66,0.14420584272394735,5897.475150741723
0.664,0.03319706950802644,5902.243731908286
0.668,-0.01781875286536174,5893.187073554329
0.672,-0.030333287552040646,5900.347725131328
0.676,-0.03297708223938412,5895.0888752859455
0.68,-0.04954463903178501,5894.281852133737
0.684,-0.09139416142313288,5888.181060105073
0.6880000000000001,-0.15618109832607055,5902.881988593149
0.6920000000000001,-0.23189258496175574,5896.206828867039
0.6960000000000001,-0.30369464935504414,5900.539736517052
0.7000000000000001,-0.3607043220276878,5897.530841310141
0.704,-0.39986530042697704,5902.782426575663
0.708,-0.425449707775172,5897.911318348338
0.712,-0.44520319407478176,5897.525625209857
0.716,-0.46575647465591086,5900.58946221116
0.72,-0.4894444144922135,5895.510741068279
0.724,-0.5132910327580621,5889.124259210447
0.728,-0.5302996911710999,5901.401582133777
0.732,-0.5332092562975205,5899.819671393404
0.736,-0.520049654611858,5897.852460141268
0.74,-0.4988799317210432,5905.228097608936
0.744,-0.4880306997782137,5904.61624700131
0.748,-0.5099570662307079,5899.328055653099
0.752,-0.5807173227243598,5902.541655908693
0.756,-0.7003637127884882,5894.113001691605
0.76,-0.8498135925323981,5895.03200501024
0.764,-0.996530079630965,5899.100347903857
0.768,-1.1063323915558287,5900.180461687661
0.772,-1.155236626662506,5901.139506005539
0.776,-1.1357712156064912,5900.557159903442
0.78,-1.0559866506686475,5907.494134291276
0.784,-0.9334789143560996,5901.431683137063
0.788,-0.7887507565633609,5888.154447362718
0.792,-0.6415095228373511,5896.000239195408
0.796,-0.5106080558942131,5906.886286371384
0.8,-0.41493817016304,5897.08005376941
0.804,-0.37146426409400873,5894.187320980743
0.808,-0.38907321444237264,5913.593089675812
0.812,-0.4606946418022694,5899.332744650387
0.8160000000000001,-0.5579293697159948,5900.809741949133
0.8200000000000001,-0.631740794683783,5901.044673544844
0.8240000000000001,-0.6211385644539654,5894.424698629588
0.8280000000000001,-0.46968773960200594,5899.005383246151
0.8320000000000001,-0.1462677403379163,5895.394034746077
0.836,0.33767565762654744,5892.676961063891
0.84,0.9235911285082928,5900.713672459362
0.844,1.518622130707621,5896.61202103804
0.848,2.021672683373813,5893.457702046497
0.852,2.3520984743573115,5895.422518572043
0.856,2.4699851502673185,5901.187690716075
0.86,2.381471782670726,5899.22039791522
0.864,2.128819526994389,5901.479826618743
0.868,1.770886281749231,5897.924157333738
0.872,1.3633792531604703,5906.87532317187
0.876,0.94722922181903,5906.930726106006
0.88,0.5475305301301528,5892.948936831595
0.884,0.1789387763404901,5900.110191351274
0.888,-0.14863964135565913,5899.644569919647
0.892,-0.4271644124669683,5888.58227959018
