时间(s),电压(V),幅值(高频80K)
0.0,-1.494742191851275,5899.545158694093
0.004,-1.5375848559644891,5898.147327461684
0.008,-1.5770056387701585,5901.691171432885
0.012,-1.610037368767308,5905.665789981165
0.016,-1.6346688641038807,5893.642567694528
0.02,-1.6498740885561016,5900.214005453384
0.024,-1.655340194312703,5902.709376841932
0.028,-1.6512222574266648,5913.960528572919
0.032,-1.6382454805454836,5899.107203269152
0.036,-1.618124594747184,5904.650237637989
0.04,-1.5938785148533834,5902.293339532146
0.044,-1.5695739574882033,5907.183174966823
0.048,-1.5493998226155543,5901.210273933597
0.052,-1.5364422101438313,5903.886946681429
0.056,-1.5317273658396577,5903.89792648906
0.06,-1.5339332306835018,5903.966871944496
0.064,-1.539843991246797,5904.060320715808
0.068,-1.5453741663408722,5908.783658410989
0.072,-1.5468705801641007,5901.005767283973
0.076,-1.5423268408730524,5900.426469251607
0.08,-1.5320977963041602,5905.133798903651
0.084,-1.5187983627806672,5895.6237605720025
0.088,-1.5063898243766287,5898.637953032739
0.092,-1.498848163857703,5899.874723829785
0.096,-1.4989871537996675,5905.322021610316
0.1,-1.5078392210849731,5899.901690917586
0.104,-1.5246435177604498,5908.325745623368
0.108,-1.5472539183396108,5891.266306880571
0.112,-1.572774270848755,5900.033603994865
0.116,-1.5982802590012002,5900.943742246534
0.12,-1.6214343012488417,5890.01975925239
0.124,-1.6407496061506117,5904.156344019534
0.128,-1.6553971250812265,5894.387127704649
0.132,-1.66473393056759,5904.865718890559
0.136,-1.667927581878756,5901.087108327315
0.14,-1.663985541908248,5903.853754521125
0.144,-1.6522271687550716,5907.351622407615
0.148,-1.6329669967287062,5901.185940268798
0.152,-1.6080571032860873,5902.7951444752325
0.156,-1.5809563105626834,5904.717821443722
0.16,-1.5561222080408381,5897.096887311652
0.164,-1.5377829616175638,5903.269293622526
0.168,-1.5284972694804095,5899.966778619267
0.172,-1.5281474601150307,5901.508439295814
0.176,-1.533914119710122,5906.175044328671
0.18,-1.5413471704099666,5903.323876085005
0.184,-1.5461233609699305,5905.669113214446
0.188,-1.545766923553012,5894.727120973343
0.192,-1.5406456393019319,5895.069807849873
0.196,-1.5338609788085034,5901.726687324815
0.2,-1.5300652886379558,5896.222948530118
0.204,-1.533634805172396,5905.288856099305
0.208,-1.5469035127997002,5905.56115390934
0.212,-1.569179192111015,5891.600087209168
0.216,-1.5969254651251796,5893.124480928583
0.22,-1.6249520858603828,5903.0620232634255
0.224,-1.6480510203652428,5898.167483722811
0.228,-1.6624479036315285,5906.91547425528
0.232,-1.6666260142534826,5897.497065743361
0.236,-1.661355979678483,5902.636819858799
0.24,-1.6490412323368882,5898.205901844034
0.244,-1.6327219496690444,5897.321794933838
0.248,-1.6151874386116376,5895.727495280469
0.252,-1.5985318680760803,5908.438771679652
0.256,-1.5841838539799673,5902.6056994449245
0.26,-1.5731726553469654,5903.188054476532
0.264,-1.5663556843769373,5903.513306524959
0.268,-1.564463618484507,5898.875543855376
0.272,-1.5679475679599502,5897.044077079932
0.276,-1.5766860742823505,5908.093228296646
0.28,-1.5896753496083593,5900.522228400513
0.284,-1.6048818360067267,5902.470724179254
0.288,-1.619406444212696,5896.719686195423
0.292,-1.629967412435747,5903.315585075696
0.296,-1.6335625372003384,5905.382648102489
0.3,-1.628150166963804,5903.892497827541
0.304,-1.6132588727236326,5906.730876282199
