时间(s),电压(V),幅值(高频80K)
0.0,-1.0834984279462048,5900.378702942496
0.004,-0.847961090080038,5904.120460165388
0.008,-0.6429794537527456,5894.2327479151545
0.012,-0.49042492650178343,5896.663082621355
0.016,-0.39802529031251016,5903.48313317784
0.02,-0.3597470253061314,5893.586803291082
0.024,-0.3604385128946533,5899.709946641822
0.028,-0.38183497501387054,5902.13752869254
0.032,-0.40766585597346783,5894.703425624907
0.036,-0.4266060304398618,5915.775264663939
0.04,-0.43247265184358713,5897.681527506783
0.044,-0.422115243208123,5902.391896722857
0.048,-0.39285791205660325,5901.352912414405
0.052,-0.3416942639216196,5896.50712578784
0.056,-0.26697873407546185,5888.290739022458
0.06,-0.17132860890060042,5903.055570183032
0.064,-0.06362056158752404,5898.112438348981
0.068,0.041180164607133585,5901.079246201426
0.072,0.12417563780314451,5901.501191564948
0.076,0.1658679554695467,5896.250247246642
0.08,0.15017249893077728,5892.7049472424615
0.084,0.06869593812045219,5910.123958656447
0.088,-0.07590925861252915,5898.128834242204
0.092,-0.26929364677589673,5899.036609360565
0.096,-0.4883418458448853,5907.62694575454
0.1,-0.7065527282317696,5897.409507298708
0.104,-0.8994205523169663,5900.60992329574
0.108,-1.0478405648770213,5899.523396738456
0.112,-1.1391335026011848,5893.79972455876
0.116,-1.1665939965771512,5914.9178107372745
0.12,-1.1288140370239812,5893.941794270357
0.124,-1.0295375797771456,5910.455347846955
0.128,-0.878006563118378,5906.3029028373485
0.132,-0.689174069135599,5894.690037878635
0.136,-0.48294137820754485,5906.447499496702
0.14,-0.28169029157225633,5899.069719121307
0.144,-0.10602456608094624,5902.07013274896
0.148,0.030068016725410998,5902.063175973352
0.152,0.12222899863350174,5893.88510566904
0.156,0.17485658704431162,5907.047059879371
0.16,0.19655930208344652,5906.216800559284
0.164,0.19464294211092406,5894.853104787165
0.168,0.17178240564509106,5900.687224419746
0.172,0.12622422096927083,5901.201335751079
0.176,0.05482282944485836,5906.099158710208
0.18,-0.042548739634218825,5905.396109862533
0.184,-0.158726635316532,5898.432558444591
0.188,-0.27692676247829,5897.101559095976
0.192,-0.37220943758136965,5898.204905533084
0.196,-0.41744329562356486,5903.030064895142
0.2,-0.3923535319957837,5893.352412255172
0.204,-0.2923562763909495,5896.361434356862
